! | OTHER 3 OTHER: 5
% | PERSON 9 OTHER 48 OTHER: 88
&ur; | OTHER 1
1.38 | OTHER: 1
1.4 million | OTHER 1 OTHER: 1
1.41 billion | OTHER 1
1.42 | OTHER 1
1.44 | OTHER 1
1.5 billion | OTHER 1 OTHER: 1
1.5 million | OTHER 1
1.54 | OTHER: 1
1.55 billion | OTHER 1
1.6 billion | OTHER: 1
1.6 million | OTHER: 1
1.7 | OTHER 1
1.7 billion | OTHER 1 OTHER: 1
1.8 billion | OTHER 1 OTHER: 1
1.8 million | OTHER: 1
1.83 billion | OTHER 1
1.84 | OTHER 1
1.9 million | OTHER: 1
10 | ORGANIZATION 1 PERSON 5 PERSON: 1 OTHER 29 OTHER: 6
10 billion | OTHER 1
10 million | OTHER 3 OTHER: 1
10 trillion | OTHER 1
10,000 | OTHER 7 OTHER: 6
10,000,000 | OTHER 1
10,272 | OTHER 1
10,283 | PERSON 1
10,300 | OTHER 1
10,818.71 | OTHER: 1
10.1 million | OTHER: 1
10.7 billion | OTHER: 1
100 | ORGANIZATION:Commercial 1 PERSON 1 PERSON: 1 OTHER 5 OTHER: 1
100 billion | OTHER 1
100 million | OTHER 4 OTHER: 1
100,000 | OTHER 2 OTHER: 3
101 | OTHER 1
102 | OTHER 1
103 | OTHER 2 OTHER: 1
1036 | OTHER: 1
104.36 | OTHER 1
104.65 | OTHER 1
108 | OTHER 1
11 | PERSON 2 OTHER 22 OTHER: 3
11 billion | OTHER 1
11 p.m. | OTHER 1
11,000 | PERSON 1
11,645 | PERSON: 1
11,814,700 | OTHER 1
11.2 billion | OTHER: 1
11.3 billion | OTHER 1
11.6 million | OTHER 1
11.95 million | OTHER: 1
11.98 | OTHER 1
11/15/00 | OTHER: 1
11/16 | OTHER 2
11/2 million | OTHER 1
110 | OTHER 2
110 million | OTHER 1
110,000 | OTHER 2
1109.55 | OTHER 1
116 | PERSON 1
116.5 million | OTHER 1
117 | PERSON 1
117.87 1/2 | OTHER 1
118 | PERSON 1
119 | OTHER: 1
12 | PERSON 1 OTHER 36 OTHER: 4
12 &amp; 17 | OTHER 1
12 games. | OTHER 1
12 million | OTHER 3
12,000 | OTHER: 1
12,001 | OTHER: 1
12,010 | OTHER 1
12,500 | OTHER: 4
12,850 | OTHER 1
12.12 1/2 | OTHER 1
12.37 1/2 | OTHER 1
12.51 | OTHER 1
12.90 | OTHER: 1
12.95 | OTHER 1
120 | OTHER 1
120 million | OTHER 2
123 billion | OTHER: 1
125,000 | OTHER 1
126,373,773 | OTHER 1
1294 | OTHER: 1
13 | PERSON 1 OTHER 17 OTHER: 2
13 billion | OTHER 1
13 trillion | OTHER 1
13.4 billion | OTHER: 1
13.7 billion | OTHER 3
13.8 million | OTHER: 1
130 million | OTHER 1
130,000 | OTHER 1
1300 | OTHER 2
131 | OTHER 1
132 | ORGANIZATION:Commercial 1
133 million | OTHER: 1
135,000 | OTHER 1
137 | OTHER 1
138 | OTHER 1
139 | OTHER 2
13th | OTHER: 3
14 | OTHER 17 OTHER: 1
14 billion | OTHER 2
14,790 | OTHER 1
140 billion | OTHER 1
140 million | OTHER 1
140.8 million | OTHER 1
141 million | OTHER: 1
149 billion | OTHER 1 OTHER: 1
15 | PERSON 1 OTHER 19 OTHER: 11
15 3/8 | OTHER 1
15 billion | OTHER 1
15 r.b.i | OTHER 1
15,000 | OTHER 2 OTHER: 2
15,201 | PERSON: 1
15,300 | PERSON: 1
15,995 | OTHER 1
15.60 | OTHER 1
15.75 billion | OTHER 1
15/16 | OTHER 1
150 | OTHER 1 OTHER: 2
150 billion | OTHER 2
150 million | OTHER 2
152 | OTHER 1
1530 | OTHER 1
15360 | OTHER: 1
155 | PERSON 1 OTHER 1
159.94 | OTHER: 1
16 | ORGANIZATION:Commercial 1 ORGANIZATION 1 GPE 1 OTHER 12 OTHER: 6
16 billion | OTHER 1
16,000 | OTHER 1
16,425 | OTHER 1
16,595 | OTHER 1
160,000 | OTHER: 1
1600 | OTHER 1 OTHER: 1
162 | OTHER 1
162 million | OTHER 1
165 1/8 | OTHER 1
165.1 million | OTHER 1
169 million | OTHER: 1
16s | OTHER 1
17 | PERSON 2 PERSON: 1 OTHER 9 OTHER: 3
17.1 | OTHER 1
17.3 | OTHER 1
17.56 | OTHER: 1
17.7 million | OTHER 1
170 | OTHER 1
170,000 | OTHER 1
173 million | OTHER 1
175 million | OTHER: 1
175.30 | OTHER 1
17820 | OTHER: 1
1798.71 | OTHER 1
18 | PERSON: 1 OTHER 21 OTHER: 4
180 | OTHER: 1
1800s | OTHER 1
1804 | OTHER 1 OTHER: 1
182 | OTHER: 1
182.00 | OTHER 1
183 | OTHER 1
1857 | OTHER: 1
1868 | OTHER 1
1870 | OTHER 1
1872 | OTHER: 1
1876 | OTHER: 1
1885 | OTHER: 1
1895 | OTHER 1
19 | ORGANIZATION:Commercial 1 PERSON 2 PERSON: 1 OTHER 8 OTHER: 1
19 americans. | OTHER 1
19,360 | OTHER 1
19.95 | OTHER 1
1900s | OTHER 3
1901 | OTHER 1
1906 | OTHER: 1
1910 | OTHER 1
1917 | OTHER 2
1920 | OTHER 1
1920s | OTHER 3 OTHER: 1
1921 | OTHER 2
1922 | OTHER 1 OTHER: 1
1926 | OTHER: 1
1927 | OTHER: 1
1928 | OTHER 1
1929 | OTHER: 1
1930s | OTHER 3 OTHER: 2
1932 | OTHER: 1
1933 | OTHER 2
1934 | OTHER 2
1936 | OTHER 1
1937 | OTHER 1
1939 | OTHER: 1
1940 | OTHER 2 OTHER: 1
1940s | OTHER 1 OTHER: 1
1942 | OTHER 2
1944 | OTHER 2 OTHER: 1
1945 | OTHER 1
1946 | OTHER: 1
1947 | OTHER 4 OTHER: 1
1948 | OTHER 2 OTHER: 1
1949 | OTHER 2 OTHER: 1
195 million | OTHER: 1
1950 | OTHER 2 OTHER: 2
1950s | OTHER 6
1951 | OTHER 2
1952 | OTHER 1
1953 | OTHER 1
1954 | OTHER 3 OTHER: 1
1956 | OTHER 1
1957 | OTHER 2 OTHER: 1
1958 | OTHER 3 OTHER: 1
1959 | OTHER 1 OTHER: 1
1960 | OTHER 3 OTHER: 2
1960s | OTHER 7 OTHER: 2
1961 | OTHER 1
1962 | OTHER 1 OTHER: 2
1964 | OTHER: 1
1965 | OTHER 5 OTHER: 1
1966 | OTHER 1
1967 | OTHER 1 OTHER: 2
1968 | OTHER 6
1969 | OTHER 4 OTHER: 1
1970 | OTHER 7
1970s | OTHER 7 OTHER: 4
1971 | OTHER 2
1972 | OTHER 9 OTHER: 1
1973 | OTHER 3
1974 | OTHER 2 OTHER: 2
1975 | OTHER 7 OTHER: 1
1976 | OTHER 7 OTHER: 7
1977 | OTHER 6 OTHER: 1
1978 | OTHER 1 OTHER: 2
1979 | OTHER 8 OTHER: 4
1980 | OTHER 12 OTHER: 9
1980s | OTHER 14 OTHER: 5
1981 | OTHER 3 OTHER: 2
1982 | OTHER 4 OTHER: 2
1983 | OTHER 10 OTHER: 2
1984 | OTHER 8 OTHER: 8
1985 | OTHER 8 OTHER: 3
1986 | OTHER 10 OTHER: 3
1987 | OTHER 11
1988 | OTHER 11 OTHER: 7
1989 | OTHER 29 OTHER: 3
1990 | OTHER 13 OTHER: 6
1990s | OTHER 7 OTHER: 1
1991 | OTHER 33 OTHER: 5
1992 | OTHER 25 OTHER: 13
1993 | OTHER 30 OTHER: 8
1994 | OTHER 52 OTHER: 11
1995 | OTHER 54 OTHER: 12
1996 | OTHER 62 OTHER: 21
1997 | OTHER 39 OTHER: 16
1998 | OTHER 34 OTHER: 10
1999 | OTHER 39 OTHER: 5
1st | OTHER 1 OTHER: 1
2 | PERSON 1 OTHER 27 OTHER: 13
2 1 | OTHER 1
2 3 | OTHER 1
2 a.m. | OTHER 1
2 b.c. | OTHER 1
2 billion | OTHER 3
2 million | OTHER 2 OTHER: 2
2,000 | OTHER 2
2,400 | OTHER 1
2,427,600 37 | OTHER 1
2,500 | PERSON 1 OTHER 2 OTHER: 1
2,589 | OTHER 1
2,749 | OTHER 1
2,776 | PERSON 1
2,909,827 | OTHER: 1
2.1 billion | OTHER: 1
2.1 million | OTHER 1
2.13 | OTHER: 1
2.15 | OTHER 1
2.18 billion | OTHER 1
2.19 | OTHER: 1
2.2 billion | OTHER 1
2.2 trillion | OTHER: 1
2.3 | OTHER 1
2.38 | OTHER: 1
2.4 billion | OTHER 1
2.4 trillion | OTHER: 1
2.44 | OTHER 1
2.5 billion | OTHER: 1
2.5 million | OTHER 1 OTHER: 1
2.62 1/2 | OTHER 1
2.75 | OTHER 2
2.84 | OTHER: 1
2.95 | OTHER 1
20 | PERSON: 1 OTHER 26 OTHER: 7
20 billion | OTHER 2
20 million | OTHER 1 OTHER: 1
20,000 | PERSON: 1 OTHER 2 OTHER: 3
20/20 | OTHER: 1
200 | PERSON 1 OTHER 3 OTHER: 1
200 million | OTHER 5
200 million. | OTHER 1
200,000 | OTHER 4 OTHER: 1
2000 | OTHER 33 OTHER: 14
2001 | OTHER 21 OTHER: 10
2002 | OTHER 5 OTHER: 8
2003 | OTHER 6 OTHER: 1
2004 | OTHER 1 OTHER: 2
2005 | OTHER 3 OTHER: 2
2006 | OTHER: 1
2007 | OTHER 2
2012 | OTHER: 1
2015 | OTHER 3
2019 | OTHER: 1
205 million | OTHER 1
2050 | OTHER: 1
20590 | OTHER: 1
206 | OTHER 2
20s | LOCATION 1 OTHER 2
21 | OTHER 7 OTHER: 5
21 million | OTHER 1
21,250 | OTHER 1
21,520 | OTHER 1
21,735 | OTHER 1
21,900 | OTHER: 1
210 | OTHER: 2
211 | OTHER: 1
212 | OTHER 3 OTHER: 2
213 | OTHER: 1
214 | OTHER 1
216 million | OTHER 1
21st | OTHER: 1
22 | PERSON 2 OTHER 10 OTHER: 1
22 billion | OTHER 2
22 million | OTHER 1
22,200 | OTHER 1
22,420 | OTHER 1
220,000 | OTHER 1
221 | OTHER 1 OTHER: 1
224.125 | OTHER 1
2245 | OTHER 1
229,000 | OTHER: 1
22nd | OTHER: 2
23 | PERSON 2 OTHER 8 OTHER: 1
23 billion | OTHER 1
23 million | OTHER 1
23,006 | OTHER 1
23.195 billion | OTHER: 1
230 billion | OTHER 1
230,000 | OTHER 2
232 | OTHER 1
235,000 | OTHER 1
237 | OTHER: 1
24 | PERSON 2 OTHER 11 OTHER: 2
24 billion | OTHER 1
24 three | OTHER 1
24,290 | OTHER 1
24,993 | OTHER 1
24,999 | OTHER: 3
24.18 3/4 | OTHER 1
24.5 | OTHER 1
240 million | OTHER 2 OTHER: 2
242,000 | OTHER 1
245! 245 | OTHER: 1
25 | GPE 1 OTHER 14 OTHER: 1
25 million | OTHER 1 OTHER: 2
25,000 | PERSON: 1 OTHER: 3
25,320 | OTHER 1
250 | PERSON: 1 OTHER 1
250 million | OTHER 2 OTHER: 2
250,000 | OTHER 3
2500 | OTHER 1
254 million | OTHER: 1
2580 | OTHER 1
26 | ORGANIZATION:Commercial 1 OTHER 12 OTHER: 8
26 million | OTHER 1
26,970 | OTHER 1
26.9 million | OTHER 1
260 | PERSON: 1
260,000 | OTHER 1
264 million | OTHER 1
265.3 million | OTHER 1
26th | OTHER: 1
27 | PERSON 1 ORGANIZATION 1 OTHER 7 OTHER: 2
27,500 | OTHER 1
27,965 | OTHER 1
27.25 | OTHER 1
270 | OTHER 3
270,913,356 | OTHER 1
276.50 | OTHER 1
28 | PERSON 1 OTHER 14 OTHER: 1
28 usc 1826 | OTHER 1
28.2 million | OTHER 1
28.40 | OTHER: 1
28.6 billion | OTHER 1
287 | OTHER 1
288 million | OTHER 1
29 | PERSON 1 OTHER 10 OTHER: 1
29,445 | OTHER 1
29,999 | OTHER: 1
29.38 | OTHER 1
290 million | OTHER: 1
2nd | OTHER: 1
3 | OTHER 32 OTHER: 5
3 1 | OTHER 1
3 b.c. | OTHER 1
3 billion | OTHER 2
3 million | OTHER 2 OTHER: 1
3,000 | OTHER 5 OTHER: 1
3,469 | OTHER 1
3,800 | OTHER 1
3,896 | PERSON 1
3.19 | OTHER: 1
3.2 million | OTHER 1
3.3 billion | OTHER 1
3.31 1/4 | OTHER 1
3.37 | OTHER 1
3.5 billion | OTHER: 1
3.5 million | OTHER 7
3.62 1/2 | OTHER 1
3.63 | OTHER: 1
3.66 | OTHER 1
3.78 | OTHER: 1
3.8 million | OTHER 2 OTHER: 1
3.84 | OTHER: 1
3.87 1/2 | OTHER 1
30 | OTHER 28 OTHER: 3
30 billion | OTHER 2
30 million | OTHER 3
30,000 | OTHER 1 OTHER: 2
30.3 million | OTHER 1
300 | OTHER 1
300 million | OTHER 4 OTHER: 1
300,000 | OTHER 8
301 | OTHER 1
302 | OTHER 1
30s | OTHER 1
31 | OTHER 18 OTHER: 2
31,055 | OTHER 1
31.68 | OTHER 1
31.75 | OTHER 1
31.8 billion | OTHER 1
312 | OTHER: 2
313 million | OTHER 1
314,000 | OTHER 1
315 | OTHER 1
315,000 | OTHER: 1
317 million | OTHER 1
31st | OTHER: 1
32 | OTHER 4
32,343 | OTHER 1
32,640 | OTHER 1
32,690 | OTHER 1
322 | OTHER: 1
325 million euros | OTHER 1
33 | OTHER 5 OTHER: 1
33 billion | OTHER: 1
33 million | OTHER 1
330 million | OTHER 3
333.4 million | OTHER 1
34 | PERSON 1 OTHER 4
34.3 billion | OTHER: 1
34.75 | OTHER 1
340 | OTHER 1 OTHER: 1
349 | OTHER 1
35 | PERSON 1 OTHER 10 OTHER: 6
35 billion | OTHER 1
35 million | OTHER 1
35,000 | OTHER: 1
35.06 | OTHER: 1
35.5 billion | OTHER 1
35.75 | OTHER 1
350 degrees. 2 | OTHER: 1
350,000 | OTHER 2
358 million | OTHER 1
358,000 | OTHER 1
359.2 million | OTHER 1
36 | PERSON 1 OTHER 6
360,000 | PERSON 1
363 million | OTHER 1
366,000 | OTHER 1
368 | WEA:Exploding 1
368 billion | OTHER 1
37 | OTHER 3 OTHER: 4
37 billion | OTHER 1
37 million | OTHER 1
37,000 | OTHER 2
37,570 | OTHER 1
37.05 | OTHER 1
37.38 | OTHER: 1
373,000 | OTHER 1
374 | OTHER 1
378 | OTHER 1
379 million | OTHER 1
38 | OTHER 8
38 million | OTHER 2
38,777 | OTHER 1
38.74 | OTHER 1
38.81 | OTHER: 1
381,000 | OTHER 1
385,000 | OTHER 1
39 | PERSON 7 OTHER 1
39 more | PERSON 1
39.75 | OTHER 1
39.82 | OTHER: 1
4 | PERSON 2 OTHER 34 OTHER: 6
4 5/8 | OTHER 1
4 billion | OTHER: 1
4 million | OTHER 4
4&amp;5 | OTHER 1
4,000 | OTHER 1 OTHER: 1
4,026 | OTHER 1
4,275 | OTHER 1
4,567,429 | OTHER: 1
4,800 | OTHER: 1
4.2 billion | OTHER 1
4.38 | OTHER: 1
4.5 trillion | OTHER: 1
4.8 billion | OTHER 1
40 | OTHER 4 OTHER: 2
40 billion | OTHER 2
40 million | OTHER 3
40.6 million | OTHER 1
400 | OTHER 3
400 million | OTHER 5 OTHER: 1
400,000 | OTHER 1
405 | OTHER 1
40s | OTHER 1
41 | OTHER 3 OTHER: 1
41 r.b.i. | OTHER 1
41,000 | OTHER 1
41,195 | OTHER 1
42 | OTHER 2
42,370 | OTHER 1
42.6 million | OTHER 1
4204. | OTHER: 1
4241 | OTHER: 1
425 | OTHER 2
429 | OTHER: 1
43 | OTHER 6 OTHER: 1
43 million | OTHER 1
43,270 | OTHER 1
435 | OTHER 1
44 | OTHER 4 OTHER: 1
44.3 million | OTHER 1
45 | OTHER 8 OTHER: 4
45 more | OTHER 1
45,300 | OTHER 1
45,505 | OTHER 1
45.00 | OTHER 1
45.12 1/2 | OTHER 1
45.13 | OTHER 1
45.375 | OTHER 1
45.50 | OTHER 1
450 | OTHER 1
450 million | OTHER: 1
451.9 million | OTHER: 1
4577 | OTHER: 1
46 | OTHER 1
46 5/8 | OTHER 1
46 billion | OTHER 1
46,525 | OTHER 1
460 | OTHER: 1
4602 | OTHER 1
469 | OTHER 1
47 | OTHER 4
47.95 | OTHER 1
477 | OTHER 1
48 | OTHER 7 OTHER: 1
48 billion | OTHER 2
48 hours. | OTHER: 1
48,165 | OTHER 1
48,978 | OTHER 1
483.39 | OTHER: 1
486 | OTHER 1
49 | OTHER 5 OTHER: 2
49,999 | OTHER: 1
49.25 | OTHER 1
5 | OTHER 35 OTHER: 9
5 6 | OTHER 1
5 billion | OTHER 2 OTHER: 2
5 million | OTHER 5 OTHER: 1
5,000 | PERSON 1 OTHER 2 OTHER: 1
5,438 | OTHER 1
5,705.1 | OTHER 1
5,861,203 | OTHER: 1
5.10 | OTHER: 1
5.16 | OTHER: 1
5.37 1/2 | OTHER 1
5.5 billion more | OTHER 1
5.98 billion | OTHER 1
5/16 | OTHER 1
50 | OTHER 10 OTHER: 3
50 billion | OTHER 3
50 million | OTHER 3 OTHER: 1
50,000 | PERSON 2 OTHER 2 OTHER: 8
50,456,169 | OTHER: 1
50,996,116 | OTHER: 1
50.50 | OTHER 1
50/50 | OTHER: 1
500 | PERSON 1 OTHER 8 OTHER: 1
500 million | OTHER 6
500,000 | OTHER 2
50s | OTHER 2
51 | OTHER 5 OTHER: 1
51,795 | OTHER 1
51.00 | OTHER 1
51.25 | OTHER 1
51.38 | OTHER: 1
510,645 | OTHER: 1
516 billion | OTHER 1
52 | OTHER 5 OTHER: 1
52.5 million | OTHER 1
523 million | OTHER: 1
528 | OTHER: 1
53 | OTHER 6 OTHER: 3
53,755 | OTHER 1
53.56 | OTHER 1
53.56 1/4 | OTHER 1
53.69 | OTHER: 1
53.94 | OTHER: 1
5320 | OTHER: 1
535 million | OTHER 1
54 | OTHER 14
54.12 1/2 | OTHER 1
54.31 | OTHER: 1
54.50 | OTHER 1
55 | OTHER 6
55 million | OTHER 1
55.12 1/2 | OTHER 1
55.43 3/4 | OTHER 1
55.50 | OTHER: 1
55.88 | OTHER: 1
550 million | OTHER: 1
557,000 | OTHER 1
56 | OTHER 4
56 billion | OTHER 1
562 | OTHER 1
57 | OTHER 3
57 million | OTHER 1
57.18 3/4 | OTHER 1
570 | OTHER 1
58 | PERSON 1 OTHER 6 OTHER: 1
58,000 | OTHER: 1
58.7 million | OTHER 1
59 | OTHER 4
6 | OTHER 58 OTHER: 9
6 billion | OTHER: 2
6 million | OTHER 2
6 trillion | OTHER 1
6,000 | OTHER 2 OTHER: 1
6.13 billion | OTHER 1
6.29 | OTHER 1
6.5 billion | OTHER 1
6.95 | OTHER 2
60 | OTHER 6 OTHER: 2
60 billion | OTHER: 1
60 million | OTHER 2
60,000 | OTHER 4
600 | OTHER 1
600 kgs | OTHER 1
600 million | OTHER 1
600,000 | OTHER: 1
6000 | ORGANIZATION:Commercial 1
603 | OTHER: 1
605 | PERSON 1
60s | OTHER 1
61 | OTHER 1
61 million | OTHER 1
6195 | OTHER: 1
62 | OTHER 4
62 million | OTHER 1
62.12 1/2 | OTHER 1
62.44 | OTHER: 1
62.62 1/2 | OTHER 1
62.75 | OTHER: 1
62.8 million | OTHER 1
63 | OTHER 4
63 million | OTHER: 1
63.45 | OTHER 1
64 | OTHER 4
646,800 31 | OTHER 1
65 | GPE:County-or-District 2 OTHER 3 OTHER: 2
65,795 | OTHER 1
650,000 | OTHER: 1
66 | OTHER 2
66,522 | OTHER 1
66.75 | OTHER 1
660 million | OTHER 1
662 million | OTHER: 1
67 | GPE:County-or-District 1 OTHER 5 OTHER: 1
67,000 | OTHER 1
670 million | OTHER 1
671 billion | OTHER 1
678 | OTHER: 1
68 | PERSON 1 OTHER 1
68 3/8 | OTHER 1
68.56 | OTHER 1
682.5 million | OTHER 1
69 | OTHER 3
6913 | OTHER 1
7 | GPE 1 OTHER 24 OTHER: 6
7 a.m. | OTHER 1
7 billion | OTHER: 1
7 million | OTHER 1
7,000 | OTHER: 1
7,300 | OTHER 1
7,8 | OTHER: 1
7.05 billion | OTHER: 1
7.2 | OTHER 1
7.4 billion | OTHER 1
7.5 million | OTHER: 1
7.50 | OTHER 1
7.74 | OTHER: 1
7.95 | OTHER 1
70 | OTHER 6 OTHER: 1
70 billion | OTHER 1
70,000 | OTHER 1
700 | OTHER 1
700 million | OTHER 2
70s | OTHER 1
71 | OTHER 5
72 | OTHER 3 OTHER: 2
72 million | OTHER 1 OTHER: 1
72.93 3/4 | OTHER 1
725 million | OTHER 1
729 | OTHER 1
729 million | OTHER 1
73 | OTHER 4
737s | OTHER 1
74 | OTHER: 1
74.23 | OTHER 1
740,000 | OTHER 1
747 | VEH:Air 1
75 | OTHER 1 OTHER: 2
75 million | OTHER 1 OTHER: 1
75,000 | OTHER 2
75.69 | OTHER: 1
750 | OTHER: 1
750 million | OTHER 3
761 million | OTHER: 1
76ers | ORGANIZATION 1
77 | OTHER 2 OTHER: 1
77.87 1/2 | OTHER 1
773 million | OTHER 1
775,000 | OTHER 1
78 | OTHER 1
78.5 billion | OTHER 1
787 | OTHER 1
7th | OTHER: 1
8 | OTHER 18 OTHER: 5
8 million | OTHER 1
8,000 | PERSON 1 OTHER 1 OTHER: 3
8,189.49 | OTHER 1
8.2 million | OTHER 1
8.5 million | OTHER 1
8.50 | OTHER 2 OTHER: 2
8.9 | OTHER 1
8.95 | OTHER 1
80 | OTHER 9 OTHER: 2
80 million | OTHER 1
80,000 | OTHER: 1
80.2 million | OTHER 1
800 | OTHER 4 OTHER: 2
800 million | OTHER 2
800,000 | OTHER 2 OTHER: 1
801 | OTHER 1
80s | OTHER 1 OTHER: 1
81 | OTHER: 2
82 | PERSON: 1 OTHER 2 OTHER: 1
82 million | OTHER: 1
823,000 | OTHER 1
83 | OTHER: 1
83.5 million | OTHER 1
830 million | OTHER 1
835 million | OTHER 1
84,540 | OTHER 1
840 | OTHER 1
85 | OTHER 1
85.94 | OTHER: 1
850,000 | PERSON 1
8533 | OTHER 1
86 | OTHER 1
86.38 | OTHER: 1
86.938 | OTHER 1
86.94 | OTHER 1
865 f.2d 1317 | OTHER 1
87 | PERSON 1 OTHER 2
88.62 1/2 | OTHER 1
883 million | OTHER 1
8956.50 | OTHER 1
9 | OTHER 18 OTHER: 5
9 million | OTHER 2 OTHER: 1
9,000 | OTHER: 1
9,174 | PERSON: 1
9,600 | OTHER 1
9,817.75 | OTHER 1
9.4 million | OTHER: 1
9.5 billion | OTHER 1
9.5 million | OTHER 1
9.6 billion | OTHER 1
9.9 billion | OTHER 1
9.95 | OTHER 1
90 | OTHER 3 OTHER: 3
90 billion | OTHER 2
90.7 million | OTHER 1
900 | OTHER 2
900 million | OTHER 1
9000 | OTHER 1 OTHER: 1
90s | OTHER 1
91 | OTHER 1
911 | OTHER 4 OTHER: 1
915 | OTHER: 1
92 | OTHER: 2
92.91 | OTHER: 1
922 | OTHER: 1
9226 | OTHER 1
923,400 4 | OTHER 1
925 | OTHER: 1
93 | PERSON: 1 OTHER: 1
936 | OTHER: 1
94 | OTHER 1 OTHER: 3
95 | OTHER 2
95 million | OTHER 2
96 | OTHER 1
96.3 million | OTHER 1
96.88 | OTHER: 1
97 | OTHER 2
97,000 | OTHER: 1
973 | OTHER: 1
98 | OTHER 2 OTHER: 1
98 1626edt | OTHER 1
98 million | OTHER 1
99 | OTHER 1
99 million | OTHER 1
99,000 | OTHER: 1
99,645 | OTHER 1
9975 | OTHER 1
9th | OTHER: 1
? | OTHER 4 OTHER: 3
@ | OTHER 1
[ | OTHER 1
_ | OTHER 11 OTHER: 7
a | OTHER 2
a few | OTHER: 1
a.d. 1000 | OTHER 1
a.d. 1001 | OTHER 1
a.d. 284 | OTHER 1
a.m | OTHER 4 OTHER: 1
a.m. | OTHER 5 OTHER: 2
a24 | OTHER 1
aa | OTHER 1
abandon | OTHER 1
abdomens | OTHER: 1
abducted | OTHER 1
abduction | OTHER 4
abductors | PERSON 1
abilities | OTHER 1
ability | OTHER 29 OTHER: 4
ablto | OTHER 1
abnormalities | OTHER 1
abortion | OTHER 8 OTHER: 2
abortions | OTHER 4 OTHER: 1
about 1/ | OTHER: 1
about 10 | OTHER 1
about 10 minutes. 2 | OTHER: 1
about 100 | OTHER 1
about 1997 | OTHER 3
about 2 million | OTHER 1
about 2,500 | OTHER 1
about 20 | OTHER 1
about 200 | OTHER 1
about 200,000 | OTHER: 1
about 30 | OTHER: 1
about 30,000 | OTHER: 2
about 35 | OTHER 1
about 380,000 | OTHER: 1
about 40,000 | OTHER: 1
about 452,000 | OTHER 1
about 500,000 | OTHER: 1
about 7 | OTHER: 1
about 8,600 | OTHER 1
about 800 | OTHER 1
about a.d. 600 | OTHER 1
about four | OTHER 2
about one | OTHER 1 OTHER: 1
about rm2.465 | OTHER 1
about six | OTHER 1
above | OTHER: 1
abroad. | OTHER 1
absence | OTHER 7
absentee | PERSON: 1
absentees | PERSON: 1 OTHER 1
absolution | OTHER 1
abstentions | OTHER 1
abundance | OTHER 1
abuse | OTHER 14 OTHER: 2
abusers | PERSON 1
abuses | OTHER 10 OTHER: 1
academics | OTHER 2
academies | ORGANIZATION 1
academy | ORGANIZATION 4 FACILITY 1
accents | OTHER: 1
acceptance | OTHER 4 OTHER: 1
access | OTHER 68 OTHER: 12
accession | OTHER 2
accessories | OTHER 1 OTHER: 2
accessory | OTHER 1
accident | OTHER 46 OTHER: 4
accidents | OTHER 9 OTHER: 8
accolades | OTHER 1
accomplice | OTHER 1
accomplishment | OTHER 1
accomplishments | OTHER 3
accord | OTHER 17 OTHER: 3
accordance | OTHER 2 OTHER: 2
accords | OTHER 4 OTHER: 1
account | OTHER 31 OTHER: 1
accountability | OTHER 1
accountable | OTHER 1
accountable enough | OTHER: 1
accountant | PERSON: 1
accounts | OTHER 20
accumulation | OTHER: 1
