% | 1 16
1 | 1 1
brooks | 0 7
broth | 0 1
brothel | 1 1
brothels | 2 0
brother | 3 58
brother-in-law | 0 2
brothers | 4 11
buck | 0 1
buckle | 0 3
buddies | 1 2
buddy | 0 3
budget | 0 1
buffs | 1 0
builders | 0 1
building | 8 62
buildings | 10 20
bulk | 0 1
bull | 1 2
bulldogs | 0 1
bulldozer | 0 2
bulldozers | 0 1
bulldozier | 0 1
bullet | 6 1
bullets | 3 2
bullock | 0 1
bully | 0 1
bunch | 0 3
bunker | 1 1
bunkers | 0 5
bureau | 0 23
bureaucracies | 1 0
bureaucracy | 1 4
bureaucrat | 2 0
bureaucrats | 4 3
bureaus | 4 2
burglar | 1 0
burglars | 1 1
bus | 13 18
bush | 0 158
bushes | 0 1
business | 24 50
businesses | 22 27
businessman | 3 55
businessmann | 0 1
businessmen | 13 23
businesswoman | 0 1
butcher | 0 1
buy | 0 1
buyer | 0 7
buyers | 6 10
bystander | 0 2
bystanders | 2 3
c.e.o. | 0 1
cabaret | 0 2
cabbage | 1 0
cabin | 1 0
cabinet | 7 31
cable | 0 1
cache | 0 4
caches | 0 2
caddy | 0 1
cadre | 0 1
cadres | 1 0
cafe | 0 11
cafes | 0 2
cafeteria | 0 2
cage | 0 1
calgary | 0 1
caller | 1 4
callers | 2 0
cambodians | 0 1
cameraman | 0 3
cameramen | 1 2
camp | 0 26
campaign | 1 61
campaigner | 0 1
campaigners | 0 1
campaigns | 0 3
camper | 1 0
campers | 0 1
camps | 2 11
campus | 2 5
campuses | 1 0
canal | 0 1
canals | 0 1
candidate | 20 65
candidates | 16 81
candy | 0 3
canisters | 0 2
cannon | 0 1
cantons | 0 1
canyons | 1 0
cape | 0 1
capital | 2 126
capitalist | 2 0
capitalists | 1 0
capitals | 0 5
capitol | 0 3
capsule | 0 1
capt. | 0 1
captain | 1 18
captains | 2 2
captives | 0 2
captors | 0 2
car | 20 26
caravan | 0 1
card | 0 5
cardinal | 0 4
cardinals | 1 0
cardiologist | 1 1
caregiver | 1 0
caregivers | 1 0
caretaker | 0 1
caretakers | 1 0
carl.. | 0 1
carnival | 0 6
carol | 0 50
carpenters | 0 1
carriage | 0 1
carrier | 1 18
carriers | 5 17
carrot | 0 7
cars | 7 17
cart | 1 1
cartels | 0 2
cartoonist | 0 1
carvers | 0 1
case | 0 1
cashier | 0 1
cashiers | 1 0
casino | 2 1
casinos | 2 4
cast | 1 3
casualties | 2 10
cat | 1 1
catch | 0 1
category | 0 1
caterer | 0 1
caterpillar | 0 1
cathedral | 0 2
catholicos | 0 2
caucasians | 0 1
caucus | 0 3
cavaliers | 0 1
cave | 0 1
celebrities | 7 4
celebrity | 5 6
cell | 1 11
cells | 0 3
celtics | 0 1
cemetery | 0 1
center | 2 79
centers | 7 9
central | 0 8
centre | 0 2
centrist | 0 2
ceo | 4 5
ceos | 1 1
chaebols | 0 1
chain | 0 20
chains | 0 5
chair | 1 2
chairman | 2 134
chairmen | 1 2
chairwoman | 0 5
challenger | 3 9
challengers | 0 2
chamber | 0 12
chamberlins | 0 2
chambers | 1 6
champ | 0 2
champion | 2 15
champions | 0 3
chance | 0 2
chancellor | 0 1
channel | 0 9
channels | 1 2
chap | 1 1
chapel | 0 4
chaplains | 0 3
chapman | 0 6
chapter | 0 1
chapters | 1 0
character | 2 11
characters | 3 5
charge | 0 1
charities | 8 1
charity | 1 6
charlatans | 0 1
chase | 0 1
chasers | 1 0
chauffeur | 0 2
cheater | 0 2
chechens | 0 2
checkpoint | 0 8
checkpoints | 2 5
cheeks | 0 1
cheerleaders | 0 2
chef | 0 2
chefs | 1 2
chemical | 1 3
chemist | 0 1
chief | 3 62
chiefs | 1 8
child | 31 34
children | 72 96
china | 0 38
china. 2 | 0 1
chip | 0 3
chit | 0 1
choice | 2 5
choir | 0 4
cholera | 0 1
chopper | 0 3
choppers | 0 1
choreographer | 0 2
choruses | 0 2
christians | 4 5
chuck | 0 3
chukotka | 0 1
chum | 0 1
chunks | 1 1
church | 8 46
churches | 6 8
cinch | 1 0
cinema | 1 0
cinemas | 2 3
circle | 0 6
circles | 0 6
citadel | 0 1
cities | 13 61
citizen | 9 12
citizens | 23 35
city | 15 321
citys | 0 1
civilian | 1 2
civilians | 15 35
civilization | 1 3
claimants | 1 0
clan | 0 5
clans | 0 1
class | 7 10
classes | 2 1
classmate | 0 2
classmates | 0 2
classroom | 4 0
classrooms | 2 1
clearinghouse | 0 1
clergy | 1 1
cleric | 0 5
clerics | 1 6
clerk | 0 15
clerks | 5 3
client | 0 19
clientele | 2 0
clients | 12 17
climber | 1 0
climbers | 1 0
clinic | 2 16
clinics | 3 2
clinton | 0 1
clintonites | 1 0
clintons | 0 1
clock | 0 1
clone | 0 1
closer | 0 1
closet | 0 4
clothier | 0 1
cloud | 1 0
clouds | 0 1
clown | 0 1
clowns | 0 1
cltv | 0 2
club | 5 30
clubhouse | 0 4
clubs | 9 10
clusters | 2 0
co | 4 7
coach | 12 40
coaches | 2 3
coalition | 2 138
coast | 0 28
coastline | 1 5
cockpit | 1 1
cockpits | 1 1
cocktail | 0 1
cocktails | 1 0
coiner | 0 1
coke | 0 1
col | 0 1
col. | 0 4
collaborators | 0 1
colleague | 1 10
colleagues | 0 23
collection | 0 2
collector | 0 2
collectors | 1 8
college | 20 13
colleges | 2 6
colonel | 0 13
colonia | 0 1
colonias | 0 1
colonies | 1 8
colony | 0 3
colossus | 0 1
columbine | 0 1
columbus | 0 1
column | 0 4
columnist | 0 9
columnists | 1 0
columns | 0 2
comapny | 0 1
combatants | 2 1
combatants. | 0 1
combattant | 0 1
comedian | 0 4
command | 0 4
commander | 2 47
commanders | 2 29
commandos | 0 5
commentator | 0 1
commentators | 0 3
commerce | 0 2
commission | 0 62
commissioner | 5 12
commissioners | 0 2
committee | 0 58
committees | 1 6
commodity | 0 1
commoners | 1 0
commonwealth | 0 2
communism | 0 1
communists | 1 1
communities | 9 29
community | 20 60
commuter | 2 0
commuters | 0 1
companies | 102 219
companion | 1 2
company | 51 384
compatriots | 0 1
competition | 1 2
competitor | 1 5
competitors | 8 18
complex | 0 18
complexes | 1 2
component | 0 1
components | 0 3
composer | 0 4
composers | 0 2
compound | 0 16
compounds | 0 6
comrades | 1 2
conceierge | 0 1
concern | 0 3
concertgoers | 0 1
concierge | 0 1
concubines | 1 0
condo | 0 1
condominium | 0 1
condominiums | 0 1
conductor | 0 1
cone | 0 2
confederates | 0 1
conferees | 0 2
conference | 1 8
confidante | 0 1
confidants | 0 1
conglomerate | 2 2
conglomerates | 2 7
congress | 0 21
congresses | 1 0
congressman | 0 10
congressmen | 0 2
congresswoman | 0 2
connoisseur | 1 0
conquerors | 0 1
conscripts | 0 1
conservationists | 1 0
conservative | 1 3
conservatives | 8 13
conserve | 1 1
consolidator | 1 0
consortia | 1 1
consortium | 0 10
consortiums | 1 0
conspirator | 0 3
constellation | 0 2
constituencies | 1 1
constituent | 0 1
constituents | 1 0
constructor | 0 1
constructors | 0 2
consul | 0 1
consulate | 0 2
consultant | 1 11
consultants | 0 3
consumer | 19 5
consumers | 30 9
contact | 2 0
contacts | 1 0
contemporaries | 0 3
contender | 1 7
contenders | 2 1
contestants | 2 3
continent | 0 9
continentals | 1 0
continents | 0 5
contingent | 0 1
contingents | 0 1
contortionist | 1 0
contractor | 0 6
contractors | 0 1
contras | 0 1
contributor | 0 2
contributors | 1 10
controller | 0 3
controllers | 1 3
convention | 0 2
converts | 0 1
convict | 1 3
convicted | 0 1
convicts | 1 1
convoy | 2 18
convoys | 0 3
cook | 1 3
cookie | 0 1
cooks | 0 2
coop | 0 1
cooper | 0 8
coordinator | 0 15
coordinators | 0 1
cop | 1 4
coppenbargers | 0 1
cops | 3 3
core | 0 5
cores | 0 1
coreys | 0 1
corks | 0 1
corner | 0 8
corners | 2 1
coroner | 0 3
corporal | 0 2
corporation | 5 15
corporations | 11 13
corps | 3 1
corpse | 1 3
corpses | 0 1
corpsmen | 0 1
correspondent | 3 46
correspondents | 3 5
corridor | 0 5
corridors | 1 1
corzine | 0 1
cosmonaut | 0 2
council | 0 38
councillors | 0 1
councilman | 0 1
councils | 0 3
counsel | 22 22
counselor | 1 5
counselors | 1 0
counter | 1 3
counterpart | 1 10
counterparts | 2 5
counters | 0 2
counties | 6 58
countries | 48 210
country | 38 527
country.. | 0 1
countrymen | 1 1
countryside | 1 6
county | 5 16
couple | 0 19
couples | 3 6
couriers | 1 2
course | 1 9
courses | 0 1
court | 37 308
courthouse | 1 8
courthouses | 0 1
courtroom | 2 16
courtrooms | 1 1
courts | 15 30
cousin | 0 4
cousins | 2 4
coward | 1 0
cowards | 0 2
cowboy | 3 1
cowboys | 2 0
coworker | 0 1
cradle | 0 2
craftsman | 1 0
crash | 0 1
crater | 0 1
creator | 0 4
creators | 0 1
creature | 0 2
creche | 0 1
creditor | 0 1
creditors | 2 7
creek | 0 1
creeks | 1 0
creep | 0 1
crew | 6 89
crewman | 0 1
crewmembers | 0 2
crewmen | 0 4
crews | 3 10
cricketers | 0 2
crime | 5 12
criminal | 6 5
criminals | 32 3
critic | 0 8
critics | 16 26
croats | 0 1
cronies | 1 1
crook | 1 0
crooks | 2 1
crossing | 0 3
crossings | 0 1
crosswalks | 0 1
crowd | 5 36
crowds | 3 10
cruise | 0 4
crusader | 0 2
crusaders | 2 0
crush | 0 1
cub | 0 1
cube | 0 1
cubs | 0 1
culprits | 0 1
cult | 0 2
culture | 1 3
curator | 0 2
curators | 0 1
curious | 1 0
currents | 0 1
cursd | 0 1
custodian | 0 1
customer | 14 5
customers | 51 28
customs | 4 0
cycle | 0 1
cyclists | 1 0
cynics | 1 0
czar | 0 4
d.o.t. | 0 1
dad | 2 15
daddy | 0 4
dads | 0 2
dagger | 1 0
daggers | 1 0
dailies | 0 1
daily | 0 4
dale | 0 2
dam | 0 3
dams | 0 1
dancer | 0 5
dancers | 1 3
danes | 1 0
darling | 0 1
date | 1 0
daughter | 0 52
daughters | 1 6
db | 0 1
deacons | 0 1
dead | 0 3
dealer | 2 9
dealers | 3 2
dealership | 0 8
dealerships | 0 1
dealmakers | 1 0
dean | 0 4
debtor | 1 0
debtors | 1 3
deceased | 0 1
deck | 2 9
deck... | 0 1
deep | 0 1
defectors | 0 1
defendant | 0 6
defendants | 1 17
defender | 0 5
defenders | 3 4
defense | 0 25
defenses | 0 2
delay | 0 2
delegate | 0 4
delegates | 3 18
delegation | 2 31
delegations | 0 8
deliveryman | 0 1
dell | 0 2
delta | 5 13
democracies | 1 1
democracy | 2 6
democrat | 1 5
democrates | 1 0
democratic | 0 1
democrats | 16 57
demographer | 0 1
demonstrators | 2 28
demos | 0 1
den | 0 1
denise | 0 1
denomination | 0 1
department | 3 44
departments | 3 2
dependents | 0 2
deponent | 0 1
depot | 0 2
depths | 0 1
deputies | 0 7
deputy | 1 6
derrick | 0 5
descendants | 1 2
desert | 2 11
desert. 12 | 0 1
deserters | 0 1
desies | 0 1
designer | 0 7
designers | 5 0
destination | 3 5
destinations | 0 1
destroyer | 0 5
detail | 0 1
detainees | 0 5
detective | 0 4
detectives | 1 12
detractors | 0 1
developer | 0 4
developers | 2 0
developments | 0 1
device | 0 1
devices | 0 1
dhabas | 0 1
diabetics | 1 1
diamond | 1 0
diaspora | 0 1
dicks | 0 1
dictator | 0 10
dictators | 1 2
dictatorship | 1 3
diesel | 0 2
dieticians | 1 0
dignitaries | 0 4
dike | 0 1
diner | 2 0
diners | 4 1
diocese | 1 0
dioceses | 1 0
diplomacy | 0 1
diplomat | 0 34
diplomats | 10 36
director | 6 95
directors | 7 10
dispatcher | 0 1
dispatchers | 1 0
dissident | 0 3
dissidents | 9 5
distraction | 0 1
distributor | 0 1
distributors | 4 7
district | 2 39
districts | 1 11
ditch | 0 2
diva | 0 2
divers | 3 92
dives | 0 1
dividers | 1 0
division | 1 47
divisions | 0 14
dixie | 0 4
dock | 0 5
docks | 0 3
doctor | 6 15
doctors | 34 53
dog | 1 5
dogfighters | 1 0
dome | 0 3
dominos | 0 2
don | 0 4
donor | 1 4
donors | 3 9
door | 0 1
doormen | 0 1
dormitory | 0 3
dot | 2 0
dotcom | 1 0
doubters | 0 1
douchebags | 0 1
doves | 1 0
downhillers | 1 0
downtowns | 0 1
doyens | 0 1
dozens | 2 11
dr. | 0 26
drafters | 0 1
draw | 0 1
dredge | 0 2
driver | 10 22
drivers | 15 8
driveway | 0 2
drones | 1 2
drugmakers | 0 1
drunk | 0 2
drunks | 1 0
duke | 0 2
dullard | 1 0
dummy | 0 1
duo | 0 2
duplicate | 0 1
durango | 0 1
e | 0 1
each | 2 27
eagle | 0 1
earners | 1 0
earth | 0 16
east | 0 6
easterners | 0 1
easyjet | 0 1
eatery | 0 1
eb | 0 1
echelon | 1 1
economist | 0 13
economists | 5 17
ed. good. | 0 1
edge | 0 6
editor | 1 20
editors | 0 3
education | 0 1
educator | 0 1
educators | 0 2
effort | 0 4
eggers | 0 1
egyptians | 0 1
eight | 0 5
eighteen | 0 1
elderly | 3 1
elders | 5 0
elect | 1 0
elector | 0 1
electorate | 1 1
electors | 7 15
element | 0 2
elements | 2 11
eleven | 0 1
elite | 3 5
embassies | 0 5
embassy | 0 19
embodiment | 0 2
emergency | 1 0
emigre | 0 2
emigres | 4 10
emissary | 0 2
emperor | 0 3
emperors | 1 0
empire | 2 14
employee | 8 12
employee. | 0 1
employees | 35 64
employer | 2 3
employers | 8 7
empress | 0 1
encampments | 1 0
enclave | 0 3
end | 0 3
endowment | 0 22
enemies | 1 9
enemy | 16 16
energy | 0 3
enforcement | 1 3
enforcers | 0 4
engine | 0 1
engineer | 0 6
engineers | 0 7
engines | 0 1
enterprise | 2 4
enterprises | 18 27
entertainer | 0 1
entertainers | 0 1
enthusiast | 0 1
enthusiasts | 2 2
entities | 2 2
entity | 1 9
entourage | 0 3
entrepreneur | 1 5
entrepreneurs | 2 1
environment | 1 0
environmentalist | 1 3
environmentalists | 1 4
environs | 0 1
envoy | 0 16
envoys | 3 2
epicenter | 0 1
epidemiologist | 0 1
epidemiologists | 0 2
equal | 0 1
equator | 0 1
equipment | 1 1
equivalent | 0 4
erdogan | 0 1
escort | 0 3
escorts | 4 0
establishment | 0 8
establishments | 0 2
estate | 5 1
estuaries | 0 1
eta | 0 1
etc. | 0 3
eu | 0 2
europeans | 0 3
eurowings | 0 1
eve | 0 1
everest | 0 1
everglades | 0 1
evergreen | 0 1
everyone | 1 1
ex | 0 13
example | 0 1
exception | 1 0
exchange | 0 9
exchanges | 2 1
exciteathome | 0 1
execs | 1 2
executioner | 0 1
executive | 5 76
executives | 4 55
exhibitors | 0 1
exile | 0 3
exiles | 3 4
expert | 1 29
experts | 21 89
expletive | 0 1
exploiters | 1 0
explorer | 1 2
explorers | 1 0
explosives | 1 12
exporter | 0 1
exporters | 0 1
expressway | 1 0
expressways | 0 1
extension | 0 1
extortionist | 1 0
extortionists | 1 0
extremist | 1 1
extremists | 3 3
extrovert | 0 1
eye | 0 1
eyes | 0 1
eyewitness | 1 2
eyewitnesses | 0 4
f | 2 5
facilities | 9 18
facility | 2 19
facility. | 0 1
faction | 0 8
factions | 0 11
factories | 2 4
factory | 4 14
faculty | 1 2
fahd | 0 1
failure | 1 0
faith | 0 1
faithful | 0 2
fallujah | 0 2
famer | 0 1
families | 23 65
family | 59 207
fan | 12 8
fanatic | 1 0
fanatics | 0 1
fancier | 1 0
fanciers | 0 1
fans | 32 29
fantasy | 0 1
farm | 4 4
farmer | 3 9
farmers | 10 19
farmhouse | 0 2
farmland | 1 0
farmlands | 0 1
farms | 5 4
farmyard | 0 1
fashion | 0 2
fatah | 0 5
fatalities | 0 1
father | 6 95
father-in-law | 0 2
fathers | 5 1
favorite | 0 4
favorites | 0 3
fed | 0 1
fedayeen | 0 1
federalist | 0 1
federation | 0 4
fellas | 0 1
fellow | 0 8
felons | 1 0
female | 1 2
females | 1 0
feminist | 0 2
feminists | 2 0
fence | 0 1
feshman | 0 1
few | 0 4
ffk | 0 1
fiance | 0 2
fiancee | 0 1
fiddler | 0 1
fidelity | 0 3
field | 5 19
fielder | 0 1
fielders | 0 1
fields | 5 12
fife | 0 2
fighter | 3 7
fighters | 4 29
figure | 1 13
figurehead | 0 1
figures | 1 15
filmmaker | 0 3
filmmakers | 1 4
finalist | 0 4
finalists | 1 1
financier | 0 1
financiers | 1 1
finger | 0 1
firearm | 3 0
firearms | 3 1
firefighters | 1 3
firestone | 0 17
fireworks | 0 1
firm | 4 51
firms | 17 17
first | 1 16
fisher | 0 2
fisheries | 2 0
fisherman | 0 1
fishermen | 2 6
fishery | 1 0
fishmongers | 0 1
fit | 0 1
fittest | 1 0
five | 2 14
fjords | 0 1
fla | 0 2
flat | 0 1
flats | 0 2
fleet | 1 7
flier | 1 0
fliers | 1 0
flight | 0 8
flock | 0 1
floor | 0 16
floors | 1 1
flop | 0 1
flops | 1 0
focus | 0 1
foe | 1 1
foes | 0 6
fold | 0 1
folk | 1 0
folks | 12 20
followers | 0 5
following | 1 2
fonz | 0 1
food | 0 1
foodist | 1 2
foodists | 2 1
foodstore | 0 1
fool | 1 2
fools | 0 1
force | 19 67
forces | 64 242
ford | 0 4
forecasters | 1 2
foreigner | 1 0
foreigners | 23 3
forest | 0 1
forests | 0 3
forewoman | 0 1
formations | 0 1
fort | 0 5
fortune | 0 1
forty | 0 1
forum | 1 0
forward | 0 2
foundations | 4 1
founder | 0 25
founders | 0 3
four | 3 19
fox | 0 5
fraction | 1 0
fragments | 0 1
franchise | 2 7
fraternity | 0 3
fraud | 0 1
fraudsters | 0 1
fredrick | 0 1
freeman | 0 1
freeways | 0 1
freighter | 1 0
freighters | 0 1
freshman | 1 1
freshmen | 3 2
friend | 12 72
friends | 37 81
fringes | 0 1
front | 0 2
frontier | 1 7
frontman | 0 1
fstaustprm 675,000 5 | 0 1
fugitive | 0 2
fund | 0 8
fund. | 0 1
fundamentalists | 0 2
funders | 1 0
funds | 2 2
g | 0 1
g.m. | 0 1
gala | 0 1
galleries | 1 1
gallery | 0 3
gambler | 1 0
gamblers | 2 1
game | 0 1
gang | 4 6
gangs | 3 5
gangsters | 4 8
garage | 1 4
garden | 0 3
gardens | 2 2
garner | 0 1
