! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
150 | OTHER 3 OTHER: 3
150 billion | OTHER 2
150 million | OTHER 2
1500 | OTHER 1 OTHER: 2
152 | OTHER 1
1530 | OTHER 1
15360 | OTHER 1
155 | PERSON 1 OTHER 1
1559 | OTHER: 1
159.94 | OTHER 1
15t16 | OTHER: 1
15t18 | OTHER: 1
15t21 | OTHER: 1
16 | PERSON:Group 1 ORGANIZATION 2 GPE 1 OTHER 18 OTHER: 16
16 +0000 | OTHER: 1
16 +1000 | OTHER: 1
16 billion | OTHER 1
16 dec 2004 15 | OTHER: 1
16 dec 2004 20 | OTHER: 1
16 dec 2004 21 | OTHER: 1
16 feb 2005 13 | OTHER: 2
16 feb 2005 19 | OTHER: 1
16 feb 2005 22 | OTHER: 1
16,000 | OTHER 1
16,425 | OTHER 1
16,595 | OTHER 1
16.5 million | OTHER: 1
160,000 | OTHER 1
1600 | OTHER 2
162 | OTHER 1
162 million | OTHER 1
165 1/8 | OTHER 1
165.1 million | OTHER 1
169 million | OTHER 1
16s | OTHER 1 OTHER: 1
16t06 | OTHER: 1
16t08 | OTHER: 1
16t15 | OTHER: 1
16t16 | OTHER: 2
16t21 | OTHER: 2
17 | PERSON 3 PERSON:Group 1 OTHER 13 OTHER: 15
17 dec 2004 02 | OTHER: 1
17 feb 2005 09 | OTHER: 2
17 feb 2005 15 | OTHER: 2
17 feb 2005 17 | OTHER: 1
17 feb 2005 19 | OTHER: 6
17 feb 2005 21 | OTHER: 1
17 feb 2005 22 | OTHER: 1
17.1 | OTHER 1
17.3 | OTHER 1
17.56 | OTHER 1
17.7 million | OTHER 1
170 | OTHER 1
170,000 | OTHER 1
173 million | OTHER 1
173rd | PERSON:Group 1
175 million | OTHER 1
175.30 | OTHER 1
1758 | OTHER: 1
1776 | OTHER: 1
17820 | OTHER 1
1798.71 | OTHER 1
17s | OTHER: 1
17t06 | OTHER: 1
17t07 | OTHER: 2
17t08 | OTHER: 1
17t11 | OTHER: 1
17t12 | OTHER: 1
17t16 | OTHER: 1
17t20 | OTHER: 1
17t21 | OTHER: 1
18 | PERSON 1 PERSON:Group 2 OTHER 25 OTHER: 13
18 dec 2004 02 | OTHER: 1
18 feb 2005 01 | OTHER: 2
18 feb 2005 06 | OTHER: 1
18 feb 2005 08 | OTHER: 1
18 feb 2005 10 | OTHER: 1
18 feb 2005 14 | OTHER: 1
18 feb 2005 19 | OTHER: 1
180 | OTHER 1
1800s | OTHER 1
1804 | OTHER 2
182 | OTHER 1
182.00 | OTHER 1
183 | OTHER 1
1857 | OTHER 1
186 | PERSON:Group 1
1860 | OTHER: 5
1868 | OTHER 1
187,500 | PERSON:Group 1
1870 | OTHER 1
1872 | OTHER 1
1876 | OTHER 1
1885 | OTHER 1
1895 | OTHER 1
18s | OTHER: 1
18t08 | OTHER: 1
18t12 | OTHER: 1
19 | ORGANIZATION 1 PERSON 3 OTHER 9 OTHER: 14
19 +0100 | OTHER: 1
19 americans. | OTHER 1
19 feb 2005 06 | OTHER: 1
19 feb 2005 07 | OTHER: 2
19 feb 2005 11 | OTHER: 3
19 feb 2005 16 | OTHER: 3
19 feb 2005 17 | OTHER: 1
19 feb 2005 19 | OTHER: 1
19 more | OTHER: 1
19,360 | OTHER 1
19.95 | OTHER 1
1900s | OTHER 3
1901 | OTHER 1
1906 | OTHER 1
1910 | OTHER 1 OTHER: 1
1917 | OTHER 2
1920 | OTHER 1
1920s | OTHER 4
1921 | OTHER 2
1922 | OTHER 2
1926 | OTHER 1
1927 | OTHER 1
1928 | OTHER 1
1929 | OTHER 1
1930s | OTHER 5 OTHER: 3
1932 | OTHER 1
1933 | OTHER 2
1934 | OTHER 2
1936 | OTHER 1 OTHER: 1
1937 | OTHER 1 OTHER: 3
1939 | OTHER 1
1940 | OTHER 3
1940s | OTHER 2
1941 | OTHER: 1
1942 | OTHER 2 OTHER: 1
1944 | OTHER 3
1945 | OTHER 1 OTHER: 1
1946 | OTHER 1
1947 | OTHER 5 OTHER: 1
1948 | OTHER 3
1949 | OTHER 3
195 million | OTHER 1
1950 | OTHER 4
1950s | OTHER 6 OTHER: 2
1951 | OTHER 2
1952 | OTHER 1
1953 | OTHER 1
1954 | OTHER 5 OTHER: 1
1956 | OTHER 1
1957 | OTHER 3
1958 | OTHER 4 OTHER: 1
1959 | OTHER 2
1960 | OTHER 5
1960s | OTHER 9 OTHER: 1
1961 | OTHER 1
1962 | OTHER 3 OTHER: 1
1963 | OTHER: 1
1964 | OTHER 1 OTHER: 1
1965 | OTHER 6 OTHER: 1
1966 | OTHER 1 OTHER: 3
1967 | OTHER 3
1968 | OTHER 6
1969 | OTHER 5
1970 | OTHER 7 OTHER: 4
1970s | OTHER 11 OTHER: 3
1971 | OTHER 2 OTHER: 1
1972 | OTHER 10
1973 | OTHER 3
1974 | OTHER 4 OTHER: 1
1975 | OTHER 8
1976 | OTHER 14
1977 | OTHER 7
1978 | OTHER 3
1979 | OTHER 12 OTHER: 2
198 | OTHER: 1
1980 | OTHER 21 OTHER: 4
1980s | OTHER 19 OTHER: 3
1981 | OTHER 5
1982 | OTHER 6 OTHER: 2
1983 | OTHER 12 OTHER: 1
1984 | OTHER 16 OTHER: 2
1985 | OTHER 11 OTHER: 4
1986 | OTHER 13
1987 | OTHER 11 OTHER: 4
1988 | OTHER 18 OTHER: 3
1988 1988 | OTHER: 1
1989 | OTHER 32 OTHER: 3
1990 | OTHER 19 OTHER: 4
1990s | OTHER 8 OTHER: 6
1991 | OTHER 38 OTHER: 11
1992 | OTHER 38 OTHER: 2
1993 | OTHER 38 OTHER: 2
1994 | OTHER 63 OTHER: 7
1995 | OTHER 66 OTHER: 6
1996 | OTHER 83 OTHER: 5
1997 | OTHER 55 OTHER: 5
1998 | OTHER 44 OTHER: 9
1999 | OTHER 44 OTHER: 14
19t10 | OTHER: 1
19t15 | OTHER: 1
1st | OTHER 2
2 | PERSON 1 OTHER 40 OTHER: 19
2 1 | OTHER 1
2 3 | OTHER 1
2 a.m. | OTHER 1
2 b.c. | OTHER 1
2 billion | OTHER 3 OTHER: 1
2 bradley | OTHER: 1
2 million | OTHER 4 OTHER: 6
2,000 | PERSON:Group 1 OTHER 2
2,400 | OTHER 1
2,427,600 37 | OTHER 1
2,500 | PERSON 1 OTHER 3
2,589 | OTHER 1
2,749 | OTHER 1
2,776 | PERSON 1
2,909,827 | OTHER 1
2.00 | OTHER: 1
2.08 | OTHER: 1
2.1 billion | OTHER 1
2.1 million | OTHER 1
2.13 | OTHER 1
2.15 | OTHER 1
2.15 billion euros | OTHER: 1
2.18 billion | OTHER 1
2.19 | OTHER 1
2.2 billion | OTHER 1
2.2 million | OTHER: 1
2.2 trillion | OTHER 1
2.3 | OTHER 1
2.38 | OTHER 1
2.4 billion | OTHER 1
2.4 trillion | OTHER 1
2.44 | OTHER 1
2.5 billion | OTHER 1 OTHER: 1
2.5 million | OTHER 2
2.62 1/2 | OTHER 1
2.75 | OTHER 2
2.84 | OTHER 1
2.95 | OTHER 1
2/17/05 10 | OTHER: 1
20 | PERSON 1 PERSON:Group 1 OTHER 33 OTHER: 16
20 billion | OTHER 2 OTHER: 1
20 feb 2005 08 | OTHER: 1
20 million | OTHER 2
20,000 | PERSON 1 PERSON:Group 1 OTHER 5
20/20 | OTHER 1
200 | PERSON 1 OTHER 4 OTHER: 2
200 million | OTHER 5
200 million. | OTHER 1
200+ | OTHER: 1
200,000 | PERSON:Group 1 OTHER 5 OTHER: 1
2000 | OTHER 47 OTHER: 18
2001 | OTHER 31 OTHER: 22
20013 | OTHER: 1
2002 | OTHER 13 OTHER: 9
2003 | OTHER 7 OTHER: 19
2004 | OTHER 3 OTHER: 45
2005 | OTHER 5 OTHER: 87
2005 01 | OTHER: 3
2005 03 | OTHER: 1
2005 04 | OTHER: 1
2005 05 | OTHER: 1
2005 06 | OTHER: 3
2005 08 | OTHER: 5
2005 09 | OTHER: 1
2005 10 | OTHER: 6
2005 11 | OTHER: 4
2005 12 | OTHER: 1
2005 13 | OTHER: 3
2005 14 | OTHER: 3
2005 15 | OTHER: 3
2005 17 | OTHER: 5
2005 18 | OTHER: 3
2005 19 | OTHER: 1
2005 20 | OTHER: 2
2005 21 | OTHER: 3
2005 22 | OTHER: 3
2005 23 | OTHER: 1
2006 | OTHER 1 OTHER: 3
2006 all | OTHER: 1
2007 | OTHER 2 OTHER: 1
2009 | OTHER: 1
2010 | OTHER: 1
2012 | OTHER 1 OTHER: 1
2015 | OTHER 3
2019 | OTHER 1
205 million | OTHER 1
2050 | OTHER 1
20590 | OTHER 1
206 | OTHER 2
20s | LOCATION 1 OTHER 2 OTHER: 1
20t09 | OTHER: 1
20t15 | OTHER: 1
20t16 | OTHER: 1
21 | OTHER 12 OTHER: 8
21 feb 2005 12 | OTHER: 2
21 feb 2005 17 | OTHER: 1
21 feb 2005 22 | OTHER: 1
21 feb 2005 23 | OTHER: 1
21 million | OTHER 1
21,250 | OTHER 1
21,520 | OTHER 1
21,735 | OTHER 1
21,900 | OTHER 1
21.5 million | OTHER: 1
210 | OTHER 2
21044 | OTHER: 1
211 | OTHER 1
212 | OTHER 5
213 | OTHER 1
214 | OTHER 1
216 million | OTHER 1
21st | OTHER 1
22 | PERSON 2 OTHER 11 OTHER: 12
22 billion | OTHER 2
22 feb 2005 07 | OTHER: 1
22 feb 2005 08 | OTHER: 4
22 feb 2005 10 | OTHER: 2
22 feb 2005 11 | OTHER: 2
22 feb 2005 16 | OTHER: 1
22 feb 2005 20 | OTHER: 1
22 million | GPE:Nation 1 OTHER 1
22,200 | OTHER 1
22,420 | OTHER 1
220,000 | OTHER 1
221 | OTHER 2
224.125 | OTHER 1
2245 | OTHER 1
225,000 | OTHER: 1
229,000 | OTHER 1
22nd | OTHER 2
22t07 | OTHER: 1
22t08 | OTHER: 1
22t13 | OTHER: 1
22t19 | OTHER: 1
23 | PERSON 2 OTHER 9 OTHER: 19
23 +0000 | OTHER: 1
23 billion | OTHER 1
23 million | OTHER 1
23,006 | OTHER 1
23,767 | OTHER: 1
23,767.77 | OTHER: 1
23.195 billion | OTHER 1
230 billion | OTHER 1
230,000 | OTHER 2
232 | OTHER 1
235,000 | OTHER 1
237 | OTHER 1
239 | OTHER: 1
23t10 | OTHER: 1
23t16 | OTHER: 1
24 | PERSON 2 OTHER 13 OTHER: 8
24 billion | OTHER 1
24 three | OTHER 1
24,290 | OTHER 1
24,993 | OTHER 1
24,999 | OTHER 3
24.18 3/4 | OTHER 1
24.41 | OTHER: 1
24.5 | OTHER 1
240 million | OTHER 4
241 | OTHER: 1
242,000 | OTHER 1
245! 245 | OTHER 1
24t10 | OTHER: 1
24t12 | OTHER: 1
24t13 | OTHER: 1
24t22 | OTHER: 1
25 | GPE 1 OTHER 15 OTHER: 10
25 million | OTHER 3
25,000 | PERSON 1 OTHER 3 OTHER: 1
25,320 | OTHER 1
250 | PERSON 1 PERSON:Group 2 OTHER 1
250 million | OTHER 4
250,000 | OTHER 3 OTHER: 1
2500 | OTHER 1
254 million | OTHER 1
2580 | OTHER 1
259 | OTHER: 1
25t01 | OTHER: 1
25t05 | OTHER: 1
25t11 | OTHER: 1
26 | ORGANIZATION 1 OTHER 20 OTHER: 14
26 feb 2005 20 | OTHER: 1
26 million | OTHER 1
26,970 | OTHER 1
26.50 | OTHER: 1
26.9 million | OTHER 1
260 | PERSON 1
260,000 | OTHER 1
262 | OTHER: 2
264 million | OTHER 1
265.3 million | OTHER 1
269 | OTHER: 1
269 million | OTHER: 1
26t07 | OTHER: 1
26t13 | OTHER: 2
26t14 | OTHER: 1
26t17 | OTHER: 1
26th | OTHER 1 OTHER: 1
27 | PERSON 1 PERSON:Group 1 ORGANIZATION 1 OTHER 9 OTHER: 24
27 +0100 | OTHER: 1
27 feb 2005 12 | OTHER: 2
27 feb 2005 15 | OTHER: 1
27 feb 2005 17 | OTHER: 1
27 feb 2005 22 | OTHER: 3
27,500 | OTHER 1
27,965 | OTHER 1
27.25 | OTHER 1
270 | OTHER 3
270,913,356 | OTHER 1
2708 j... | OTHER: 1
276.50 | OTHER 1
2763. | OTHER: 1
27t07 | OTHER: 1
27t10 | OTHER: 1
27t12 | OTHER: 1
28 | PERSON 1 OTHER 15 OTHER: 21
28 feb 2005 01 | OTHER: 1
28 feb 2005 13 | OTHER: 1
28 feb 2005 19 | OTHER: 1
28 usc 1826 | OTHER 1
28.2 million | OTHER 1
28.40 | OTHER 1
28.6 billion | OTHER 1
28.7 billion | OTHER: 1
287 | OTHER 1
287,490 | OTHER: 1
288 million | OTHER 1
28pm | OTHER: 1
28t09 | OTHER: 1
28t16 | OTHER: 1
28t22 | OTHER: 1
29 | PERSON 1 PERSON:Group 1 OTHER 11 OTHER: 14
29 dec 2004 00 | OTHER: 2
29,445 | OTHER 1
29,999 | OTHER 1
29.38 | OTHER 1
290 million | OTHER 1
29s | OTHER: 1
2k | OTHER: 1
2nd | OTHER 1 OTHER: 1
3 | PERSON:Group 1 WEA:Nuclear 1 OTHER 37 OTHER: 16
3 1 | OTHER 1
3 b.c. | OTHER 1
3 billion | OTHER 2 OTHER: 1
3 feb 2005 06 | OTHER: 1
3 feb 2005 08 | OTHER: 2
3 feb 2005 09 | OTHER: 1
3 feb 2005 10 | OTHER: 1
3 feb 2005 15 | OTHER: 1
3 million | OTHER 3 OTHER: 3
3 years. | OTHER: 1
3,000 | OTHER 6
3,469 | OTHER 1
3,800 | OTHER 1
3,896 | PERSON 1
3.19 | OTHER 1
3.2 million | OTHER 1
3.3 billion | OTHER 1
3.31 1/4 | OTHER 1
3.37 | OTHER 1
3.5 billion | OTHER 1
3.5 million | OTHER 7 OTHER: 1
3.62 1/2 | OTHER 1
3.63 | OTHER 1
3.66 | OTHER 1
3.78 | OTHER 1
3.8 million | OTHER 2
3.8 million population. | OTHER 1
3.84 | OTHER 1
3.87 1/2 | OTHER 1
30 | OTHER 31 OTHER: 32
30 billion | OTHER 2
30 million | OTHER 3 OTHER: 2
30,000 | OTHER 3 OTHER: 1
30.00 | OTHER: 1
30.3 million | OTHER 1
300 | PERSON:Group 1 FACILITY:Building-Grounds 1 OTHER 1
300 million | OTHER 5 OTHER: 1
300,000 | OTHER 8
301 | OTHER 1
302 | OTHER 1
30am | OTHER: 1
30s | OTHER 1
30t18 | OTHER: 1
31 | OTHER 20 OTHER: 7
31,055 | OTHER 1
31.68 | OTHER 1
31.75 | OTHER 1
31.8 billion | OTHER 1
312 | OTHER 2
313 million | OTHER 1
314,000 | OTHER 1
315 | OTHER 1
315,000 | OTHER 1
317 million | OTHER 1
31709 | OTHER: 1
31st | OTHER 1
32 | OTHER 4 OTHER: 7
32,343 | OTHER 1
32,640 | OTHER 1
32,690 | OTHER 1
320,490. | OTHER: 1
322 | OTHER 1
325 million euros | OTHER 1
33 | OTHER 6 OTHER: 13
33 +0100 | OTHER: 1
33 +1300 | OTHER: 1
33 billion | OTHER 1
33 million | OTHER 1
330 million | OTHER 3
333.4 million | OTHER 1
336 | OTHER: 2
34 | PERSON 1 OTHER 4 OTHER: 5
34.3 billion | OTHER 1
34.75 | OTHER 1
340 | OTHER 2
340 million | OTHER: 1
349 | OTHER 1
3498 | OTHER: 1
35 | PERSON 1 OTHER 16 OTHER: 9
35 +1000 | OTHER: 1
35 billion | OTHER 1
35 million | OTHER 1
35,000 | OTHER 1
35.06 | OTHER 1
35.5 billion | OTHER 1
35.75 | OTHER 1
350 degrees. 2 | OTHER 1
350,000 | OTHER 2
358 million | OTHER 1
358,000 | OTHER 1
359.2 million | OTHER 1
36 | PERSON 1 OTHER 6 OTHER: 8
360,000 | PERSON 1
361 | OTHER: 1
363 million | OTHER 1
365 | OTHER: 1
366,000 | OTHER 1
368 | WEA 1
368 billion | OTHER 1
37 | OTHER 7 OTHER: 5
37 billion | OTHER 1
37 million | OTHER 1 OTHER: 1
37,000 | OTHER 2
37,570 | OTHER 1
37.05 | OTHER 1
37.38 | OTHER 1
37243 | OTHER: 1
373,000 | OTHER 1
374 | OTHER 1
378 | OTHER 1
379 million | OTHER 1
38 | OTHER 8 OTHER: 11
38 +1000 | OTHER: 1
38 million | OTHER 2
38,777 | OTHER 1
38.74 | OTHER 1
38.81 | OTHER 1
381,000 | OTHER 1
385,000 | OTHER 1
39 | PERSON 7 PERSON:Group 1 OTHER 2 OTHER: 15
39 more | PERSON 1
39.75 | OTHER 1
39.82 | OTHER 1
3rd | OTHER: 1
4 | PERSON 2 OTHER 41 OTHER: 7
4 1 | OTHER: 1
4 5/8 | OTHER 1
4 billion | OTHER 1 OTHER: 1
4 million | OTHER 4 OTHER: 3
4 nov 2004 20 | OTHER: 1
4,000 | PERSON:Group 2 OTHER 2
4,026 | OTHER 1
4,275 | OTHER 1
4,567,429 | OTHER 1
4,800 | OTHER 1
4.2 billion | OTHER 1
4.38 | OTHER 1
4.5 trillion | OTHER 1
4.8 billion | OTHER 1
40 | WEA:Projectile 1 OTHER 6 OTHER: 8
40 billion | OTHER 2
40 million | OTHER 3 OTHER: 2
40,000 | OTHER: 1
40.6 million | OTHER 1
400 | OTHER 3 OTHER: 2
400 million | OTHER 6 OTHER: 2
400,000 | PERSON:Group 1 OTHER 1
405 | OTHER 1
40s | OTHER 1
41 | OTHER 4 OTHER: 7
41 r.b.i. | OTHER 1
41,000 | OTHER 1
41,195 | OTHER 1
410 | OTHER: 1
42 | OTHER 2 OTHER: 10
42,370 | OTHER 1
42.5 million | OTHER: 1
42.6 million | OTHER 1
4204. | OTHER 1
422 | OTHER: 1
4241 | OTHER 1
425 | OTHER 2
429 | OTHER 1
43 | OTHER 7 OTHER: 3
43 million | OTHER 1
43,270 | OTHER 1
432 | OTHER: 1
435 | OTHER 1 OTHER: 1
