% | 0 9
1 | 1 1
bars | 1 0
base | 4 25
baseball | 0 1
baseman | 2 0
basement | 1 0
bases | 5 9
basilica | 0 1
bastions | 1 0
bathroom | 1 0
bathrooms | 1 0
batters | 0 1
battlefield | 0 1
battleground | 1 0
battlegrounds | 1 0
bay | 0 3
beaches | 0 1
bearer | 1 0
beavers | 0 1
bed | 0 2
bedroom | 0 1
bedrooms | 2 0
beef | 1 0
beekeeper | 0 1
behemoth | 2 0
being | 1 2
beings | 2 0
believer | 0 1
believers | 1 0
bells | 0 3
beloved | 0 1
belt | 0 2
bench | 0 1
benefactor | 0 1
benefactors | 0 2
best | 3 2
bi | 0 1
bicycles | 0 1
bidder | 1 0
bidders | 2 0
big four | 0 1
billion | 1 0
biologist | 0 1
birthplace | 0 1
bishop | 0 1
bishops | 1 0
bistros | 0 1
black | 0 1
blacks | 8 6
blind | 0 1
bloc | 1 5
block | 1 9
blocks | 0 2
blocs | 1 3
blonde | 0 1
bluefield | 0 1
bluffs | 0 2
board | 3 69
boards | 1 9
boat | 0 1
boats | 1 0
bodies | 9 90
body | 9 62
bodyguard | 2 6
bodyguards | 6 8
bomb | 1 1
bombees | 1 0
bomber | 0 1
bombers | 4 13
bomblet | 1 0
bomblets | 0 9
bombs | 0 2
bombshell | 0 1
bookmakers | 0 4
bookseller | 1 1
bookstores | 1 1
boosters | 0 1
booth | 0 1
booths | 0 1
border | 0 14
borderline | 0 1
borders | 2 2
borough | 1 1
bosley | 0 1
boss | 4 12
bosses | 1 2
both | 1 11
bottom | 1 7
boulevard | 0 1
boulevards | 1 0
boundary | 0 2
boutiques | 2 0
bows | 1 0
box | 0 2
boxer | 0 2
boxers | 1 0
boxes | 1 0
boy | 4 23
boyfriend | 0 3
boys | 10 7
branch | 0 7
branches | 3 7
brand | 0 2
brazos | 0 1
breadwinners | 1 0
breaker | 1 0
breakers | 1 0
brewer | 0 1
bridge | 1 2
bridges | 0 1
brigade | 0 1
brigades | 1 2
britains | 1 0
broadcaster | 0 1
broadcasters | 1 1
broker | 0 2
brokers | 1 1
brothels | 2 0
brother | 1 26
brother-in-law | 0 1
brothers | 2 6
buddy | 0 2
buffs | 1 0
building | 7 44
buildings | 4 9
bulk | 0 1
bull | 1 0
bully | 0 1
bunch | 0 1
bureau | 0 18
bureaucracies | 1 0
bureaucracy | 1 4
bureaucrat | 1 0
bureaucrats | 4 2
bureaus | 4 2
burglar | 1 0
burglars | 1 1
bus | 1 3
bush | 0 2
bushes | 0 1
business | 4 39
businesses | 21 18
businessman | 3 54
businessmann | 0 1
businessmen | 14 20
businesswoman | 0 1
butcher | 0 1
buy | 0 1
buyer | 0 3
buyers | 7 6
bystander | 0 1
bystanders | 2 3
c.e.o. | 0 1
cabaret | 0 2
cabbage | 1 0
cabinet | 5 13
cable | 1 0
caddy | 0 1
cadre | 0 1
cadres | 1 0
cafe | 0 6
cafes | 0 2
cafeteria | 0 1
cage | 0 1
calgary | 0 1
caller | 1 3
callers | 2 0
cambodians | 0 1
cameramen | 1 0
camp | 1 19
campaign | 1 57
campaigner | 0 1
campaigners | 1 0
campaigns | 0 3
camper | 1 0
campers | 0 1
camps | 2 8
campus | 1 4
canals | 1 0
candidate | 21 37
candidates | 16 52
canisters | 1 1
cantons | 0 1
capeman | 0 1
capital | 4 80
capitalist | 1 0
capitalists | 1 0
capitals | 0 4
capitol | 0 3
captain | 1 8
captains | 2 2
captives | 0 2
captors | 0 1
car | 3 2
caravan | 0 1
cardinal | 0 2
cardiologist | 1 1
caregiver | 1 0
caregivers | 1 0
carl.. | 0 1
carpenters | 0 1
carrier | 0 7
carriers | 5 5
cars | 2 4
cart | 0 1
cartels | 0 2
cartoonist | 0 1
case | 0 1
cashier | 0 1
casino | 2 1
cast | 1 2
casualties | 1 1
cat | 1 1
category | 0 1
caterer | 0 1
cathedral | 0 2
catholicos | 0 2
caucasians | 0 1
caucus | 0 2
celebrities | 4 1
celebrity | 2 2
cell | 0 6
celtics | 0 1
cemetery | 0 1
center | 2 46
centers | 6 7
central | 0 1
centre | 0 2
centrist | 0 2
ceo | 0 1
chaebols | 1 0
chain | 0 13
chains | 1 3
chair | 0 1
chairman | 1 97
chairmen | 1 2
chairwoman | 0 5
challenger | 3 7
chamber | 0 10
chambers | 0 6
champ | 0 2
champion | 2 15
champions | 0 3
chance | 0 2
chancellor | 0 1
channel | 0 6
channels | 2 1
chap | 1 0
chapel | 0 3
chaplains | 0 3
chapter | 0 1
chapters | 1 0
character | 2 10
characters | 3 5
charge | 1 0
charity | 0 1
chasers | 1 0
chauffeur | 0 2
chechens | 0 2
checkpoint | 0 1
cheerleaders | 0 1
chef | 0 2
chefs | 1 2
chemical | 0 1
chief | 3 44
chiefs | 0 8
child | 18 3
children | 69 53
chit | 1 0
choice | 2 3
choir | 0 3
choppers | 0 1
choreographer | 0 1
choruses | 0 2
christians | 3 4
chuck | 0 1
chukotka | 0 1
chunks | 1 1
church | 3 30
churches | 6 8
cinch | 1 0
circle | 0 3
circles | 3 2
citadel | 0 1
cities | 19 43
citizen | 8 9
citizens | 18 25
city | 12 172
civilian | 0 1
civilians | 12 10
civilization | 1 1
claimants | 1 0
clan | 0 2
clans | 0 1
class | 6 8
classes | 0 1
classmate | 0 2
classmates | 0 2
classroom | 1 0
classrooms | 1 1
clergy | 1 1
clerk | 1 12
clerks | 5 3
client | 0 10
clientele | 2 0
clients | 14 11
climber | 1 0
climbers | 1 0
clinic | 2 14
clinics | 2 2
clinton | 0 1
clintonites | 1 0
clone | 0 1
closer | 0 1
closet | 0 1
clothier | 0 1
cloud | 1 0
clouds | 0 1
club | 2 20
clubhouse | 0 4
clubs | 11 6
clusters | 2 0
co | 0 1
coach | 12 21
coaches | 3 3
coalition | 2 17
coast | 0 10
coastline | 1 5
coiner | 0 1
coke | 0 1
collaborators | 0 1
colleague | 1 5
colleagues | 1 16
collection | 0 2
collectors | 0 2
college | 4 10
colleges | 1 6
colonel | 1 1
colonia | 1 0
colonias | 1 0
colonies | 0 8
colony | 0 2
colossus | 0 1
columnist | 1 5
columnists | 1 0
combatants | 1 1
comedian | 1 1
command | 0 2
commander | 2 27
commanders | 0 13
commentator | 0 1
commentators | 0 3
commerce | 0 1
commission | 0 57
commissioner | 5 10
commissioners | 0 2
committee | 0 43
committees | 2 3
commoners | 1 0
commonwealth | 0 1
communism | 0 1
communists | 0 1
communities | 8 27
community | 20 38
commuter | 2 0
commuters | 0 1
companies | 117 137
companion | 1 1
company | 37 281
compatriots | 0 1
competition | 1 2
competitor | 0 4
competitors | 10 10
complex | 0 5
complexes | 1 1
component | 0 1
components | 0 3
composer | 0 2
composers | 0 2
compound | 0 3
compounds | 0 4
comrades | 0 1
concern | 0 2
concertgoers | 0 1
concubines | 1 0
condominiums | 0 1
conductor | 0 1
confederates | 0 1
conferees | 0 1
conference | 0 1
conglomerates | 1 6
congress | 0 5
congresses | 1 0
congressman | 0 6
congressmen | 0 1
congresswoman | 0 1
connoisseur | 1 0
conservationists | 1 0
conservative | 1 2
conservatives | 6 11
consolidator | 1 0
consortia | 1 1
consortium | 0 9
consortiums | 1 0
constituencies | 2 0
constructor | 0 1
constructors | 0 2
consul | 0 1
consulate | 0 2
consultant | 1 9
consultants | 1 2
consumer | 5 1
consumers | 29 4
contact | 2 0
contacts | 1 0
contemporaries | 0 1
contender | 2 5
contenders | 2 1
contestants | 2 2
continent | 0 7
continents | 0 5
contingent | 0 1
contingents | 0 1
contractor | 0 5
contras | 0 1
contributor | 0 1
contributors | 0 7
controller | 1 2
controllers | 2 2
convention | 0 2
convict | 0 2
convicts | 0 1
convoy | 1 3
cook | 1 1
cooks | 0 1
coordinator | 0 10
coordinators | 0 1
coppenbargers | 0 1
cops | 1 0
core | 0 5
cores | 0 1
corner | 0 6
corners | 1 1
corporation | 3 11
corporations | 15 5
corps | 3 0
corpse | 0 2
corpses | 0 1
correspondent | 2 13
correspondents | 3 2
corridor | 0 5
corridors | 1 0
corzine | 0 1
council | 0 23
councillors | 0 1
councilman | 0 1
councils | 0 3
counsel | 22 20
counselor | 1 3
counselors | 1 0
counter | 1 0
counterpart | 0 6
counterparts | 2 5
counters | 0 1
counties | 5 54
countries | 61 148
country | 28 345
countrymen | 1 1
countryside | 1 6
county | 3 8
couple | 0 8
couples | 1 6
couriers | 1 0
course | 1 9
courses | 0 1
court | 21 207
courthouse | 0 1
courthouses | 0 1
courtroom | 2 13
courtrooms | 1 0
courts | 17 24
cousin | 0 1
cousins | 0 2
coward | 1 0
cowboy | 3 1
cowboys | 2 0
coworker | 0 1
cradle | 0 1
craftsman | 1 0
crater | 0 1
creator | 0 2
creature | 0 2
creche | 0 1
creditor | 0 1
creditors | 1 3
creek | 0 1
creeks | 1 0
creep | 0 1
crew | 3 65
crewman | 0 1
crewmembers | 0 2
crewmen | 0 4
crews | 1 8
cricketers | 0 2
crime | 5 12
criminal | 2 2
criminals | 28 2
critic | 0 6
critics | 19 18
croats | 0 1
cronies | 1 1
crook | 1 0
crooks | 2 1
crossings | 0 1
crosswalks | 0 1
crowd | 4 22
crowds | 5 5
crusader | 0 2
crush | 0 1
culprits | 0 1
culture | 1 3
curator | 0 2
curious | 1 0
custodian | 0 1
customer | 6 3
customers | 51 20
cyclists | 1 0
cynics | 1 0
czar | 0 3
d.o.t. | 0 1
dad | 0 3
daddy | 0 3
dailies | 1 0
daily | 0 1
dam | 0 3
dams | 0 1
dancer | 0 5
dancers | 0 3
danes | 1 0
darling | 0 1
date | 1 0
daughter | 0 24
daughters | 1 5
dead | 1 1
dealer | 1 6
dealers | 2 2
dealership | 0 8
dealerships | 0 1
dean | 0 4
debtors | 1 3
deceased | 1 0
defectors | 0 1
defendant | 0 3
defendants | 1 12
defender | 0 4
defenders | 2 0
defense | 0 16
delegate | 0 1
delegates | 3 9
delegation | 3 23
delegations | 1 7
deliveryman | 0 1
delta | 0 9
democracies | 1 1
democracy | 1 6
democrat | 2 4
democratic | 0 1
democrats | 20 44
demographer | 0 1
demonstrators | 7 21
den | 0 1
department | 2 28
departments | 3 1
dependents | 0 1
depot | 0 1
depths | 0 1
deputies | 0 6
deputy | 0 2
descendants | 1 2
desert | 0 1
designer | 0 7
designers | 5 0
destination | 3 4
destinations | 0 1
destroyer | 0 1
detail | 1 0
detainees | 1 2
detective | 0 4
detectives | 1 10
detractors | 1 0
developer | 1 1
developers | 2 0
developments | 0 1
device | 0 1
dhabas | 0 1
diabetics | 2 0
diamond | 1 0
diaspora | 1 0
dictator | 0 4
dictators | 0 2
dictatorship | 0 2
dieticians | 1 0
dignitaries | 0 3
dike | 0 1
diner | 2 0
diners | 4 1
dioceses | 1 0
diplomat | 0 24
diplomats | 7 22
director | 6 76
directors | 2 5
dispatchers | 1 0
dissident | 0 2
dissidents | 9 3
distraction | 0 1
distributor | 0 1
distributors | 4 2
district | 2 30
districts | 2 7
ditch | 0 1
diva | 0 1
divers | 3 92
dives | 0 1
dividers | 1 0
division | 1 35
divisions | 0 3
dock | 0 4
docks | 1 1
doctor | 6 8
doctors | 35 37
dog | 1 0
dome | 0 2
donor | 1 2
donors | 2 7
door | 0 1
doormen | 0 1
dormitory | 0 3
doubters | 0 1
doves | 1 0
downhillers | 1 0
downtowns | 0 1
doyens | 0 1
dozens | 2 8
dr. | 0 14
drafters | 0 1
draw | 0 1
driver | 9 15
drivers | 13 7
driveway | 0 1
drugmakers | 0 1
dullard | 1 0
duo | 0 2
e | 0 1
each | 2 16
earners | 1 0
earth | 0 6
easterners | 1 0
eatery | 0 1
echelon | 1 1
economist | 0 11
economists | 12 8
editor | 1 13
editors | 0 3
education | 0 1
educators | 0 2
effort | 0 4
eight | 0 5
eighteen | 0 1
elderly | 3 1
elders | 3 0
elect | 1 0
elector | 0 1
electorate | 1 1
electors | 14 6
element | 0 2
elements | 2 4
elite | 3 5
embassies | 0 5
embassy | 0 14
emigre | 0 2
emigres | 4 10
emissary | 0 2
emperor | 0 3
emperors | 1 0
empire | 2 8
employee | 3 9
employee. | 0 1
employees | 32 41
employer | 0 3
employers | 7 7
empress | 0 1
enclave | 0 1
end | 0 2
endowment | 0 22
enemies | 1 8
enemy | 4 7
energy | 0 2
enforcement | 0 1
enforcers | 0 3
engine | 0 1
engineer | 0 5
engineers | 1 3
enterprise | 2 3
enterprises | 30 15
entertainer | 0 1
entertainers | 0 1
enthusiast | 0 1
enthusiasts | 2 0
entities | 2 2
entity | 1 5
entourage | 0 3
entrepreneur | 0 4
entrepreneurs | 1 1
environment | 1 0
environmentalist | 1 0
environmentalists | 2 2
envoy | 0 10
envoys | 0 1
epicenter | 0 1
epidemiologist | 0 1
epidemiologists | 0 2
equator | 0 1
equivalent | 0 3
escort | 0 1
escorts | 4 0
establishment | 0 7
establishments | 0 2
estate | 3 1
estuaries | 0 1
etc. | 2 1
europeans | 1 1
eurowings | 0 1
example | 0 1
exchange | 0 6
exchanges | 2 1
executioner | 0 1
executive | 5 57
executives | 8 36
exhibitors | 0 1
exile | 0 1
exiles | 0 1
expert | 1 19
experts | 37 56
expletive | 0 1
exploiters | 1 0
explorer | 1 1
explorers | 1 0
explosives | 0 2
exporter | 0 1
expressways | 0 1
extortionist | 1 0
extortionists | 1 0
extremist | 1 1
extremists | 1 2
extrovert | 0 1
eyewitnesses | 0 2
f | 0 1
facilities | 6 11
facility | 2 5
faction | 0 7
factions | 0 5
factories | 3 3
factory | 3 8
faculty | 0 1
fahd | 0 1
failure | 1 0
faithful | 0 2
famer | 0 1
families | 21 39
family | 19 105
fan | 5 6
fanatics | 0 1
fancier | 1 0
fanciers | 0 1
fans | 24 18
farm | 1 3
farmer | 2 5
farmers | 10 18
farmhouse | 0 2
farmland | 1 0
farmlands | 0 1
farms | 6 2
fashion | 0 2
fatalities | 0 1
father | 5 55
fathers | 5 0
favorite | 0 2
favorites | 0 3
fed | 0 1
federalist | 0 1
federation | 0 3
fellas | 0 1
fellow | 0 3
felons | 1 0
females | 1 0
fence | 0 1
feshman | 0 1
few | 1 1
fiancee | 0 1
field | 3 8
fielder | 0 1
fielders | 0 1
fields | 6 3
fighter | 2 1
fighters | 2 11
figure | 1 12
figures | 3 10
filmmaker | 0 2
filmmakers | 1 4
finalist | 0 4
finalists | 1 1
financier | 0 1
financiers | 1 1
finger | 0 1
firearms | 1 0
firefighters | 1 1
fireworks | 1 0
firm | 2 38
firms | 11 10
first | 1 9
fisheries | 1 0
fishermen | 2 2
fishmongers | 0 1
fit | 0 1
five | 1 11
fjords | 0 1
flat | 0 1
flats | 0 2
fleet | 0 3
flier | 1 0
fliers | 1 0
flight | 0 2
flock | 0 1
floor | 0 12
floors | 1 1
flop | 0 1
flops | 1 0
focus | 0 1
foe | 1 1
foes | 1 5
fold | 0 1
folk | 1 0
folks | 10 4
followers | 1 2
foodist | 1 2
foodists | 2 1
force | 15 40
forces | 6 94
forecasters | 1 1
foreigners | 23 3
forest | 0 1
forests | 0 3
forewoman | 0 1
formations | 0 1
forty | 0 1
forum | 1 0
forward | 0 2
foundations | 4 0
founder | 0 12
founders | 1 0
four | 3 16
fox | 0 1
fraction | 1 0
franchise | 2 6
fraternity | 0 1
freeways | 0 1
freighters | 1 0
frenchman | 0 1
freshman | 0 1
freshmen | 3 1
friend | 6 45
friends | 27 49
front | 0 1
frontier | 0 6
fstaustprm 675,000 5 | 0 1
fugitive | 0 2
fund | 0 6
fund. | 0 1
fundamentalists | 0 2
funds | 4 0
g.m. | 0 1
gala | 0 1
galleries | 1 1
gallery | 0 2
gambler | 1 0
gamblers | 0 1
game | 0 1
gang | 3 6
gangs | 3 5
gangsters | 4 8
garage | 0 4
garden | 0 2
gardens | 2 2
garrison | 0 2
gas | 3 2
gates | 1 0
gatherings | 1 0
gays | 1 0
geishas | 0 1
gen. | 0 4
general | 3 29
generals | 1 3
generation | 4 7
generations | 1 1
gentleman | 0 6
gentlemen | 2 2
germans | 1 1
getaway | 0 1
geurillas | 1 0
ghetto | 1 0
giant | 2 5
giants | 0 1
gift | 0 1
girl | 5 14
girlfriend | 0 4
girls | 7 8
givers | 1 0
globe | 0 9
goalie | 0 2
goalscorer | 0 1
goaltender | 0 1
god | 0 1
godfather | 0 1
golfer | 1 4
gorge | 0 1
gov. | 0 16
government | 39 446
governments | 12 31
governor | 14 67
governors | 2 9
grader | 0 1
graduate | 0 1
graduates | 4 1
grams | 0 1
grandchildren | 1 8
granddaughter | 0 1
grandfather | 1 3
grandfathers | 1 0
grandmother | 0 6
grandparents | 2 0
grandson | 0 3
greywolf 1,040,900 1 | 0 1
grocer | 1 0
groceries | 0 1
ground | 5 1
grounds | 0 2
group | 22 181
groupies | 1 0
groupings | 0 1
groups | 48 68
growers | 1 1
grubber | 1 0
guarantors | 0 1
guard | 2 9
guardian | 1 1
guards | 7 14
guaruras | 3 0
guerillas | 0 1
guerrilla | 0 1
guerrillas | 1 21
guest | 2 3
guests | 6 10
guild | 0 1
guingamp | 0 1
guitarists | 1 0
gulags | 1 0
gulf | 0 3
gun | 3 4
gun. | 1 0
gunman | 0 10
gunmen | 0 14
guns | 4 0
gunships | 0 2
guy | 11 21
guys | 3 21
gym | 0 1
gymnast | 0 1
gynecologists | 2 0
haberdasher | 0 1
habitats | 1 0
hackers | 1 3
half | 13 9
halfpipe | 0 1
hall | 0 10
halls | 1 1
hallway | 0 2
hallways | 1 0
halves | 0 1
hamlet | 0 3
hamlets | 1 0
handful | 1 4
handlers | 0 1
hands | 0 1
hangar | 0 2
hangars | 0 1
hangout | 0 1
harbor | 0 10
harbour | 1 0
hardliners | 0 1
hatcheries | 1 0
haters | 1 0
haven | 0 3
hawks | 1 0
head | 3 57
headquarters | 1 41
heads | 3 5
healer | 1 0
health | 0 2
hearing | 0 1
heart | 0 3
heartland | 0 1
heath | 0 2
heaven | 0 1
heavens | 0 1
heavyweight | 1 0
heavyweights | 1 0
heir | 1 2
helicopter | 0 3
helicopters | 4 2
help | 0 1
hemisphere | 0 1
henchmen | 0 1
herd | 2 0
herders | 0 1
hero | 6 4
heroes | 2 5
heroine | 0 1
herself. | 0 1
heterosexuals | 1 0
hideout | 0 2
hierarchy | 0 1
highway | 1 8
highways | 1 2
hill | 0 3
hills | 0 2
hilltop | 0 1
hinterland | 1 0
hire | 1 0
hirees | 1 0
historian | 0 3
historians | 3 0
hit | 0 2
hitter | 0 1
hitters | 1 4
hmos | 1 0
hobart | 0 1
hobbyists | 0 1
hockey | 0 1
holder | 0 1
holders | 0 2
holding | 0 2
holdouts | 0 2
holtz. | 0 1
home | 20 118
homeland | 0 4
homelands | 0 2
homeless | 1 0
homeport | 0 1
homes | 16 25
hometown | 0 7
homo sapiens | 1 0
homosexuals | 1 4
hood | 1 0
hoods | 0 1
hookers | 0 1
hooligan | 3 0
hooligans | 3 0
hope | 1 0
hopefuls | 1 0
hospital | 7 41
hospitals | 12 2
host | 2 12
hostage | 0 1
hostages | 1 10
hostess | 1 0
hostesses | 1 1
hosts | 3 6
hotel | 4 21
hoteliers | 2 0
hotels | 11 16
hotspot | 0 2
house | 3 70
household | 3 0
households | 4 6
houses | 5 10
housing | 3 2
hub | 1 1
humanists | 1 0
humanity | 0 1
humans | 7 0
humblest | 1 0
hundred | 0 1
hundreds | 6 16
hunter | 0 3
hunters | 7 2
hurricanes | 0 1
husband | 1 38
husbands | 3 0
i | 0 3
ice | 2 0
ideologue | 1 0
immigrant | 0 3
immigrants | 7 14
impacmtg | 0 1
importers | 1 0
incompetent | 1 0
incumbent | 3 6
incumbents | 0 3
independents | 6 1
indexers | 1 0
individual | 7 0
individuals | 12 9
industries | 8 8
industry | 3 113
industry. | 0 1
infant | 2 0
infants | 3 3
infected | 1 0
influx | 0 1
informant | 2 1
information | 0 1
informer | 0 1
informers | 0 2
infrastructure | 0 1
infrastructures | 1 0
ingenue | 1 0
inhabitants | 0 2
injured | 0 4
inmate | 1 6
inmates | 3 2
inn | 0 1
innocents | 1 0
innovator | 0 1
insider | 0 1
insiders | 6 0
inspection | 0 2
inspector | 1 8
inspectors | 21 36
institute | 0 6
institution | 4 10
institutions | 23 22
instructor | 0 1
insurer | 0 1
insurers | 0 2
insurgents | 0 2
integrators | 0 1
intellectual | 1 3
intellectuals | 2 0
intelligence | 0 3
interest | 1 0
interests | 0 2
interlocutor | 1 0
intermediaries | 0 3
intermediary | 1 0
intern | 1 9
internet | 1 0
interpreter | 1 1
interrogators | 0 1
intersection | 1 0
interstate | 0 2
interveners | 1 0
intervenors | 1 0
interviewees | 1 0
interviewer | 0 2
intruder | 0 3
intruders | 0 2
invalids | 1 0
inventor | 0 1
investigator | 0 8
investigators | 8 64
investor | 2 5
investors | 62 17
iraqs | 0 1
islamic | 0 1
island | 4 38
islanders | 0 1
islands | 0 9
islets | 0 4
israelis | 2 5
issue | 1 1
ivorians | 1 0
jail | 5 15
jailers | 0 1
jails | 1 1
japanese | 0 2
jeb | 0 1
jeep | 0 1
jeffersonians | 0 1
jerusalem | 0 1
jet | 0 3
jetliner | 0 1
jets | 0 1
jewel | 1 2
jeweler | 0 1
jews | 4 3
job | 3 0
jobs | 1 0
jockey | 0 3
jocks | 1 0
joe | 0 1
jordanians | 1 0
jounalists | 0 1
journalist | 5 22
journalists | 12 20
judge | 3 78
judges | 8 24
judiciary | 1 1
jumper | 0 1
jungle | 0 2
junior | 0 1
junta | 0 5
jurisdiction | 1 0
jurists | 0 1
juror | 0 4
jurors | 0 4
jury | 9 35
justice | 1 11
justices | 1 21
kapusta | 1 0
katv | 0 2
keeper | 0 2
kid | 1 5
kidnapper | 0 1
kidnappers | 2 14
kids | 25 12
killer | 5 17
killers | 3 5
killings | 1 0
kind | 3 1
kindergarten | 1 0
king | 0 11
kingdom | 0 1
kings | 1 0
kitchen | 1 1
kitchens | 1 0
knot | 0 1
kremlin | 0 1
kvm | 0 2
lab | 0 2
label | 0 5
labor | 1 0
laboratories | 1 3
laborers | 1 3
ladies | 6 3
lady | 3 10
lagoons | 0 1
lair | 1 0
lake | 1 3
land | 7 14
landholdings | 1 0
landlord | 1 1
landmark | 0 1
lands | 1 4
landscape | 0 1
lapastica | 0 1
largo | 0 1
latest | 0 1
latter | 0 1
latvia. .. | 0 1
laundromat | 0 1
laura | 0 1
lawmaker | 0 4
lawmakers | 13 20
lawn | 0 4
lawyer | 9 80
lawyers | 18 94
leader | 17 117
leaders | 43 150
leadership | 4 15
league | 2 35
leaguer | 0 1
leagues | 6 4
learner | 0 1
left | 0 1
leftists | 0 1
leg | 0 1
legacy | 0 1
legend | 0 2
legends | 0 1
legions | 1 0
legislator | 1 4
legislators | 2 7
legislature | 0 20
legislatures | 2 0
lenders | 1 2
lesbians | 1 0
liaison | 0 1
liar | 5 0
liberal | 0 3
liberals | 5 4
libertarian | 0 1
libertarians | 0 1
librarians | 1 0
library | 0 3
libya | 0 1
libyans | 0 1
lieutenant | 0 1
lieutenants | 0 3
lift | 0 1
lifts | 0 1
line | 0 6
linebacker | 0 1
lineman | 0 1
linemen | 0 2
liners | 0 1
lines | 3 3
lineup | 0 1
listeners | 3 2
lives | 3 3
lobbies | 1 0
lobby | 1 3
lobbyist | 1 10
